Authors;Title;Year;Source title;Cited by;Abstract;Author Keywords;Index Keywords;Type of method/model;Horizon;Market;Output
Klæboe G., Eriksrud A.L., Fleten S.-E.;Benchmarking time series based forecasting models for electricity balancing market prices;2013;Energy Systems;28;In the trade-off between bidding in the day-ahead electricity market and the real time balancing market, producers need good forecasts for balancing market prices to make informed decisions. A range of earlier published models for forecasting of balancing market prices, including a few extensions, is benchmarked. The models are benchmarked both for 1 h-ahead and day-ahead forecast, and both point and interval forecasts are compared. None of the benchmarked models produce informative day-ahead point forecasts, suggesting that information available before the closing of the day-ahead market is efficiently reflected in the day-ahead market price rather than the balancing market price. Evaluation of the interval forecasts reveals that models without balancing state information overestimate variance, making them unsuitable for scenario generation. © 2013, Springer-Verlag Berlin Heidelberg.;"Ancillary service market; Balancing market price; Electricity markets; Electricity price scenarios; Forecasting; Regulating market";"Costs; Economic and social effects; Power markets; Ancillary service markets; Balancing market; Electricity market; Electricity prices; Regulating market; Forecasting";4;1;3;1, 2
Geidel C., Zareipour H.;Price forecasting in the Spanish day-ahead electricity market using preconditioned wind power information;2013;Proceedings - 2013 12th International Conference on Machine Learning and Applications, ICMLA 2013;;In this paper, short-term electricity price forecasting using residual demand under predefined wind power generation conditions is performed. Residual demand is defined as the total electricity demand subtracted by hard to predict renewable energy sources. Focus of this paper lies on wind power generation as the main renewable energy source. First, the long-term influence of wind power on the electricity market price is investigated. Second, the short-term dependency between electricity market price and wind power generation is examined by applying the similar day method to the Spanish day-ahead market as well as data association mining. Third, a novel method of how to use wind power information is introduced. © 2013 IEEE.;"Price forecasting; residual demand; Wind power";"Costs; Electric industry; Electric load forecasting; Electric power generation; Information use; Learning systems; Natural resources; Wind power; Data association; Day-ahead electricity market; Electricity demands; Electricity market; Electricity price forecasting; Price forecasting; Renewable energy source; Residual demand; Weather forecasting";5;1;1;1
Liu D., Wei Y., Yang S., Guan Z.;Electricity price forecast using combined models with adaptive weights selected and errors calibrated by hidden Markov model;2013;Mathematical Problems in Engineering;4;A combined forecast with weights adaptively selected and errors calibrated by Hidden Markov model (HMM) is proposed to model the day-ahead electricity price. Firstly several single models were built to forecast the electricity price separately. Then the validation errors from every individual model were transformed into two discrete sequences: an emission sequence and a state sequence to build the HMM, obtaining a transmission matrix and an emission matrix, representing the forecasting ability state of the individual models. The combining weights of the individual models were decided by the state transmission matrixes in HMM and the best predict sample ratio of each individual among all the models in the validation set. The individual forecasts were averaged to get the combining forecast with the weights obtained above. The residuals of combining forecast were calibrated by the possible error calculated by the emission matrix of HMM. A case study of day-ahead electricity market of Pennsylvania-New Jersey-Maryland (PJM), USA, suggests that the proposed method outperforms individual techniques of price forecasting, such as support vector machine (SVM), generalized regression neural networks (GRNN), day-ahead modeling, and self-organized map (SOM) similar days modeling. © 2013 Da Liu et al.;;"Costs; Electric load forecasting; Errors; Hidden Markov models; Neural networks; Support vector machines; Combined forecasts; Combining forecasts; Day-ahead electricity market; Forecasting ability; Generalized Regression Neural Network(GRNN); Individual modeling; Self-organized map; Transmission matrix; Forecasting";3, 4, 5;1, 2;1;1
Voronin S., Partanen J.;Price forecasting in the day-ahead energy market by an iterative method with separate normal price and price spike frameworks;2013;Energies;32;A forecasting methodology for prediction of both normal prices and price spikes in the day-ahead energy market is proposed. The method is based on an iterative strategy implemented as a combination of two modules separately applied for normal price and price spike predictions. The normal price module is a mixture of wavelet transform, linear AutoRegressive Integrated Moving Average (ARIMA) and nonlinear neural network models. The probability of a price spike occurrence is produced by a compound classifier in which three single classification techniques are used jointly to make a decision. Combined with the spike value prediction technique, the output from the price spike module aims to provide a comprehensive price spike forecast. The overall electricity price forecast is formed as combined normal price and price spike forecasts. The forecast accuracy of the proposed method is evaluated with real data from the Finnish Nord Pool Spot day-ahead energy market. The proposed method provides significant improvement in both normal price and price spike prediction accuracy compared with some of the most popular forecast techniques applied for case studies of energy markets. © 2013 by the authors.;"Compound classifier; Electricity price forecasts; Hybrid methodology; Input feature selection; Price spike forecasts";"Commerce; Costs; Forecasting; Iterative methods; Mathematical transformations; Power quality; Wavelet transforms; Auto-regressive integrated moving average; Classification technique; Compound classifiers; Day-ahead energy markets; Electricity prices; Hybrid methodologies; Nonlinear neural networks; Price spike; Power markets";4, 5;1;1;1
Mandal P., Haque A.U., Meng J., Srivastava A.K., Martinez R.;A novel hybrid approach using wavelet, firefly algorithm, and fuzzy ARTMAP for day-ahead electricity price forecasting;2013;IEEE Transactions on Power Systems;80;This paper presents a novel hybrid intelligent algorithm utilizing a data filtering technique based on wavelet transform (WT), an optimization technique based on firefly (FF) algorithm, and a soft computing model based on fuzzy ARTMAP (FA) network in order to forecast day-ahead electricity prices in the Ontario market. A comprehensive comparative analysis with other soft computing and hybrid models shows a significant improvement in forecast error bymore than 40% for daily andweekly price forecasts, through the application of a proposed hybrid WT + FF + FA model. Furthermore, low values obtained for the forecast mean square error (FMSE) and mean absolute error (MAE) indicate high degree of accuracy of the proposed model. Robustness of the proposed hybrid intelligent model is measured by using the statistical index (error variance). In addition, the good forecast performance and the rapid adaptability of the proposed hybrid WT + FF + FA model are also evaluated using the PJM market data. © 2012 IEEE.;"Electricitymarket; Firefly optimization algorithm; Fuzzy ARTMAP network; Short-term price forecasting; Wavelet transform";"Electricity price forecasting; Electricitymarket; Fuzzy-artmap networks; High degree of accuracy; Hybrid intelligent algorithms; Hybrid intelligent model; Optimization algorithms; Short-term price forecasting; Algorithms; Bioluminescence; Commerce; Costs; Electric load forecasting; Soft computing; Wavelet transforms; Forecasting";4, 5;1, 2;1;1
Bandyopadhayay A., Roy S., Ghosh D.;Forecasting day-ahead price of electricity - A dynamic regression approach;2013;International Journal of Business Excellence;6;The electricity market is being deregulated all over the world. Deregulation has brought in a variety of trading systems such as day-ahead trading and has also introduced high volatility of electricity prices. The large variability of price increases the risk for the market participants and forces the business houses to look for a forecasting accuracy of about ± 3%. This paper provides a method to predict next-day electricity prices using dynamic regression methodology where the price was regressed on selected demand, as well as supply side variables available in the public domain, and the error has been modelled using ARIMA / SARIMA models. The results were found to be very encouraging with MAPE lying in the range of ± 3.5% in most cases. In order to reduce the complexity associated with developing many models, a clustering methodology was used to group the different hours of the day so as to reduce the number of forecasting models to be fitted. Agglomerative hierarchical clustering with single linkage was used and models for representative hours had the required level of accuracy. Copyright © 2013 Inderscience Enterprises Ltd.;"ARIMA; Day-ahead price; Deregulated market; Dynamic regression; MLR; Multiple linear regression; Price forecasting";;4;0;1;1
Bordignon S., Bunn D.W., Lisi F., Nan F.;Combining day-ahead forecasts for British electricity prices;2013;Energy Economics;79;This paper considers how well the approach of combining forecasts extends to the context of electricity prices. With the increasing popularity of regime switching and time-varying parameter models for predicting power prices, the multi model and evolutionary considerations that usually support the combining of simpler time series methods may be less applicable when the individual models incorporate these features. We address this question with a backtesting analysis on British day-ahead prices. Furthermore, given the volatility of power prices and concerns about accurate forecasting under extreme price excursions, we evaluate the results using various error metrics including expected shortfall. The comparisons are furthermore carefully simulated to consider model selection uncertainty in order to realistically test the value of combining as an ex ante policy. Overall, our results support combining for both accurate operational planning and risk management. © 2011 Elsevier B.V.;"ARMAX; Electricity price forecasting; Forecasts combination; Markov regime switching; Prediction accuracy; Time-varying parameter regression";"ARMAX; Electricity price forecasting; Forecasts combination; Prediction accuracy; Regime switching; Time varying parameter; Electric load forecasting; Forecasting; Risk management; Time varying control systems; Costs; accuracy assessment; comparative study; electricity supply; energy market; energy planning; energy policy; forecasting method; Markov chain; model test; model validation; parameterization; risk assessment; time series analysis; United Kingdom";3, 4;1;1;2
Jónsson T., Pinson P., Nielsen H.A., Madsen H., Nielsen T.S.;Forecasting electricity spot prices accounting for wind power predictions;2013;IEEE Transactions on Sustainable Energy;60;A two-step methodology for forecasting of electricity spot prices is introduced, with focus on the impact of predicted system load and wind power generation. The nonlinear and nonstationary influence of these explanatory variables is accommodated in a first step based on a nonparametric and time-varying regression model. In a second step, time-series models, i.e., ARMA and Holt-Winters, are applied to account for residual autocorrelation and seasonal dynamics. Empirical results are presented for out-of-sample forecasts of day-ahead prices in the Western Danish price area of Nord Pool's Elspot, during a two year period covering 2010-2011. These results clearly demonstrate the practical benefits of accounting for the complex influence of these explanatory variables. © 2010-2012 IEEE.;"Adaptivity; electricity prices; forecasting; nonlinear modeling; nonparametric modeling; robustness";"Adaptivity; Day-ahead prices; Electricity prices; Electricity spot price; Explanatory variables; Forecasting electricity; Holt-Winters; Non-parametric; Non-parametric modeling; Nonlinear modeling; Nonstationary; Out-of-sample forecast; Seasonal dynamics; System loads; Time series models; Time-varying regression; Wind power predictions; Electric power generation; Forecasting; Regression analysis; Robustness (control systems); Wind power; Costs";4;1;1;1
Mandal P., Haque A.U., Meng J., Martinez R., Srivastava A.K.;A hybrid intelligent algorithm for short-term energy price forecasting in the Ontario market;2012;IEEE Power and Energy Society General Meeting;8;Price forecasting is a crucial information for market participants in an electricity market. However, the electricity price is a complex signal due to its nonlinearity, stochasticity, and time dependent behavior. This paper presents a novel hybrid intelligent algorithm that uses the combination of a data filtering technique based on the wavelet transform (WT), an optimization technique based on firefly (FF) algorithm, and a soft computing model based on fuzzy ARTMAP (FA) network. The innovative contribution of this paper is an application of the FF algorithm to optimize FA network that utilizes the historical ill-behaved energy price time-series through the WT. Good forecast performance and adaptability of the proposed hybrid WTFFFA m o d e l to changes in the data is illustrated using the Ontario market power system data. The test results demonstrates that the proposed hybrid technique is able to improve the day-ahead price forecasting performance significantly when compared with other conventional soft computing models available in literature. © 2012 IEEE.;"Electricity market; firefly algorithm; fuzzy ARTMAP; short-term price forecasting; wavelet transform";"Complex signal; Data filtering; Day-ahead prices; Electricity market; Electricity prices; Energy prices; Firefly algorithms; Fuzzy ARTMAP; Hybrid intelligent algorithms; Hybrid techniques; Market participants; Market Power; Ontario; Optimization techniques; Price forecasting; Short-term price forecasting; Soft computing models; Stochasticity; Time dependent behavior; Algorithms; Bioluminescence; Commerce; Electric industry; Forecasting; Optimization; Soft computing; Wavelet transforms; Costs";4, 5;1, 2;1;1
Alamaniotis M., Ikonomopoulos A., Alamaniotis A., Bargiotas D., Tsoukalas L.H.;Day-ahead electricity price forecasting using optimized multiple-regression of relevance vector machines;2012;IET Conference Publications;4;In deregulated, auction-based, electricity markets price forecasting is an essential participant tool for developing bidding strategies. In this paper, a day-ahead intelligent forecasting method for electricity prices is presented. The proposed approach is comprised of two steps. In the first step, a set of two relevance vector machines (RVM) is employed where each one provides next day predictions for the price evolution. In the second step, a multiple regression model comprised of the two relevance vector machines is built and the regression coefficients are computed using genetic based optimization. The performance of the proposed approach is tested on a set of electricity price hourly data from four different seasons and compared to those obtained by each of the relevance vector machines. The results clearly demonstrate, in terms of mean square error, the superiority of the proposed method over each individual RVM.;"Electricity price forecasting; Multiple-regression; Relevance vector machines";"Electricity market; Electricity price forecasting; Electricity prices; Intelligent forecasting; Multiple regression model; Multiple-regression; Regression coefficient; Relevance Vector Machine; Costs; Electric load forecasting; Electric power generation; Energy conversion; Optimization; Regression analysis";−1;−1;−1;−1
Crisostomi E., Tucci M., Raugi M.;Methods for energy price prediction in the Smart Grid;2012;IEEE PES Innovative Smart Grid Technologies Conference Europe;4;This paper compares different strategies for the prediction of energy prices. This feature is very important to support the Energy Management System for the computation of optimal power flows in a smart grid framework, e.g., in a Virtual Power Plant. The paper compares simple strategies like the typical one based on the assumption that the prices of the following day will remain the same of the current day, with more complicated approaches, like the Kalman Filter and empirical strategies that also include the information of the current day of the week. The performance of the different algorithms are thoroughly discussed and compared on real data taken from the Italian energy market. © 2012 IEEE.;"Kalman Filter; Optimal Power Flow Scheduling; Virtual Power Plant";"Energy markets; Energy prices; Optimal power flows; Smart grid; Virtual power plants; Acoustic generators; Costs; Electric load flow; Energy management systems; Kalman filters; Power plants; Smart power grids; Electric power transmission networks";4;0;1;1
Asrari A., Javidi M.H.;Application of a new hybrid method for day-ahead energy price forecasting in Iranian electricity market;2012;Iranian Journal of Electrical and Electronic Engineering;2;In a typical competitive electricity market, a large number of short-term and long-term contracts are set on the basis of energy price by an Independent System Operator (ISO). Under such circumstances, accurate electricity price forecasting can lead to the more reasonable bidding strategies adopted by the electricity market participants. Using this prediction, the participants raise their profit and manage the relevant market more efficiently. This conspicuous reason has motivated the researchers to develop the most accurate, though sophisticated, forecasting models to predict the short-term electricity price as precisely as possible. In this article, a new method is suggested to forecast the next day's electricity price of Iranian Electricity Market. The authors have used this hybrid model successfully in their previous papers to predict the electric load data of Ontario Electricity Market and of the operating reserve data of Khorasan Electricity Network.;"Energy Price; Fuzzy Approach; Gray Model; Markov Chain Model; Transition Probability Matrix";;3, 4;0;1;0
Keynia F.;A new feature selection algorithm and composite neural network for electricity price forecasting;2012;Engineering Applications of Artificial Intelligence;42;In a competitive electricity market, the forecasting of energy prices is an important activity for all the market participants either for developing bidding strategies or for making investment decisions. In this paper, a new forecast strategy is proposed for day ahead prediction of electricity price, which is a complex signal with nonlinear, volatile and time dependent behavior. Our forecast strategy includes a new two stage feature selection algorithm, a composite neural network (CNN) and a few auxiliary predictors. The feature selection algorithm has two filtering stages to remove irrelevant and redundant candidate inputs, respectively. This algorithm is based on mutual information (MI) criterion and selects the input variables of the CNN among a large set of candidate inputs. The CNN is composed of a few neural networks (NN) with a new data flow among its building blocks. The CNN is the forecast engine of the proposed strategy. A kind of cross-validation technique is also presented to fine-tune the adjustable parameters of the feature selection algorithm and CNN. Moreover, the proposed price forecast strategy is equipped with a few auxiliary predictors to enrich the candidate set of inputs of the forecast engine. The whole proposed strategy is examined on the PJM, Spanish and Californian electricity markets and compared with some of the most recent price forecast methods. © 2012 Elsevier Ltd. All rights reserved.;"Composite neural network; Price forecast; Two stage feature selection technique";"Adjustable parameters; Bidding strategy; Building blockes; Competitive electricity markets; Complex signal; Cross-validation technique; Data flow; Electricity market; Electricity price forecasting; Electricity prices; Energy prices; Feature selection algorithm; Input variables; Investment decisions; Market participants; Mutual informations; Price forecasts; Selection techniques; Time dependent behavior; Algorithms; Costs; Electric load forecasting; Investments; Neural networks; Forecasting";5;1;1;1
Lei M., Feng Z.;A proposed grey model for short-term electricity price forecasting in competitive power markets;2012;International Journal of Electrical Power and Energy Systems;37;In order to improve the performance of traditional grey models for short-term electricity price prediction in competitive power markets, a novel grey model, named PGM(1,2,a,b), is proposed in this paper. In the proposed model, the reference sequence is determined with correlation method. Furthermore, considering the limitation of the least square method (LSM), particle swarm optimization algorithm (PSO) is adopted to identify the parameters instead of LSM. To demonstrate the superiority of the proposed model, public available data coming from Nordpool, California, and Ontario power markets were used for training and testing. Simulation results show that the proposed model is capable of forecasting short-term electricity price efficiently and accurately. © 2012 Elsevier Ltd. All rights reserved.;"Electricity price forecasting; Grey models; Particle swarm optimization; Power markets";"California; Competitive power markets; Electricity price forecasting; Electricity prices; Grey Model; Least square methods; Ontario; Particle swarm optimization algorithm; Power markets; Training and testing; Algorithms; Electric load forecasting; Least squares approximations; Models; Particle swarm optimization (PSO); Power quality; Commerce";4;1;1;1
Song Q., Lei M.;Evolutionary grey model algorithm for short-term electricity price predictions;2012;ICIC Express Letters;1;An evolutionary grey model algorithm noted as PGM(1, 2) is proposed for short-term electricity price prediction in Nordpool competitive power markets. With PGM(1, 2) particle swarm optimization algorithm (PSO) is utilized to explore the most suitable background weight, which is an important parameter for the grey models. Simulation experiments are conducted with hour-ahead electricity price forecasts. The results demonstrate PGM(1, 2) is valid and can obtain much better prediction accuracy than traditional grey models. © 2012 ISSN.;"Electricity price; Grey model; Particle swarm optimization; Prediction";"Competitive power markets; Electricity prices; Grey Model; Particle swarm optimization algorithm; Prediction accuracy; Algorithms; Electricity; Forecasting; Models; Particle swarm optimization (PSO); Costs";−1;−1;−1;−1
Gianfreda A., Grossi L.;Forecasting Italian electricity zonal prices with exogenous variables;2012;Energy Economics;68;In the last few years we have observed the deregulation in electricity markets and an increasing interest in price dynamics has been developed especially to consider all stylized facts shown by spot prices. Only few papers have considered the Italian Electricity Spot market since it has been deregulated recently. Therefore, this contribution is an investigation with emphasis on price dynamics accounting for technologies, market concentration, congestions and volumes. We aim to understand how these four variables affect zonal prices since these ones combine to bring about the single national price (prezzo unico d'acquisto, PUN). Hence, understanding its features is important for drawing policy indications referred to production planning and selection of generation sources, pricing and risk-hedging problems, monitoring of market power positions and finally to motivate investment strategies in new power plants and grid interconnections. Implementing Reg-ARFIMA-GARCH models, we assess the forecasting performance of selected models showing that they perform better when these factors are considered. © 2012 Elsevier B.V.;"Congestions; Electricity prices; Forecasting; Fractional integration; Market power; Production technologies";"Congestions; Electricity prices; Fractional integration; Market Power; Production technology; Commerce; Costs; Economics; Electricity; Forecasting; Planning; Power plants; Production control; Deregulation; electricity supply; energy market; energy policy; forecasting method; investment; price dynamics; pricing policy";4;1;1, 3;2
Zhang J., Tan Z., Yang S.;Day-ahead electricity price forecasting by a new hybrid method;2012;Computers and Industrial Engineering;38;Electricity price forecasting has become necessary for power producers and consumers in the current deregulated electricity markets. Seeking for more accurate price forecasting techniques, this paper proposes a new hybrid method based on wavelet transform (WT), autoregressive integrated moving average (ARIMA) and least squares support vector machine (LSSVM) optimized by particle swarm optimization (PSO) to predict electricity prices. The proposed method is examined by using the data from New South Wales (NSW) of Australian national electricity market. Empirical testing indicates that the proposed method can provide more accurate and effective results than the other price forecasting methods. © 2011 Elsevier Ltd. All rights reserved.;"ARIMA; Electricity price forecasting; LSSVM; PSO; WT";"ARIMA; Electricity price forecasting; LSSVM; PSO; WT; Costs; Deregulation; Electric load forecasting";4, 5;1;1;1
Haugom E., Ullrich C.J.;Forecasting spot price volatility using the short-term forward curve;2012;Energy Economics;13;We use high frequency real time spot prices and day-ahead forward prices from the Pennsylvania-New Jersey-Maryland wholesale electricity market to calculate, describe, and forecast spot price volatility. We introduce the concept of forward realized volatility calculated from day-ahead forward prices. Forward realized volatility improves forecasts of spot price volatility - in the sense of higher R 2s and significantly lower forecast errors - when compared with forecasts based solely upon historical volatility. The largest forecast improvements obtained when the change in forward realized volatility is large in magnitude. Splitting total volatility into its continuous and jump components is crucial for forecasting volatility at weekly and monthly horizons. © 2012 Elsevier B.V.;"Electricity markets; Forward prices; Implied volatility; Realized volatility; Volatility forecasting";"Electricity market; Forward price; Implied volatility; Realized volatility; Volatility forecasting; Costs; Forecasting; electricity supply; energy market; forecasting method; price dynamics; Maryland; New Jersey; Pennsylvania; United States";4;1, 2;1, 2;1
Lagarto J., De Sousa J., Martins Á., Ferrão P.;Price forecasting in the day-ahead Iberian electricity market using a conjectural variations ARIMA model;2012;9th International Conference on the European Energy Market, EEM 12;14;Price forecast is a matter of concern for all participants in electricity markets, from suppliers to consumers through policy makers, which are interested in the accurate forecast of day-ahead electricity prices either for better decisions making or for an improved evaluation of the effectiveness of market rules and structure. This paper describes a methodology to forecast market prices in an electricity market using an ARIMA model applied to the conjectural variations of the firms acting in an electricity market. This methodology is applied to the Iberian electricity market to forecast market prices in the 24 hours of a working day. The methodology was then compared with two other methodologies, one called naïve and the other a direct forecast of market prices using also an ARIMA model. Results show that the conjectural variations price forecast performs better than the naïve and that it performs slightly better than the direct price forecast. © 2012 IEEE.;"ARIMA model; conjectural variations; electricity market simulation; Iberian electricity market; price forecasting; strategic behavior";"ARIMA models; Conjectural variations; Electricity market simulation; Iberian electricity market; Price forecasting; Strategic Behavior; Commerce; Computer simulation; Costs; Electric industry; Forecasting";4;1;1;1
Fuglerud M., Vedahl K.E., Fleten S.-E.;Equilibrium simulation of the Nordic electricity spot price;2012;9th International Conference on the European Energy Market, EEM 12;5;We develop a bottom-up, midterm model for the Nord Pool system price. Models for consumption, generation and exchange are combined using a market equilibrium approach. Scenarios for the most influential stochastic factors are created using statistical models. Forecasted price scenarios yield an indication on the expected future system price, and the uncertainty in future prices. Compared to stochastic dynamic programming based models, we use an empirical function to approximate the water value, with a possible benefit in terms of computational effort. In addition to providing a picture of the price distribution, the model can be applied to learn about the impact of fundamental variables. In particular, we study the relative influence of each of the stochastic factors. The performance of the model is evaluated in numerical examples over a two-year forecast period. Overall, we conclude the model provides realistic forecasts of the system price and its distribution. The performance under normal market conditions may deviate from our results, due to the extraordinary drop in fuel prices caused by the financial crisis. © 2012 IEEE.;"bootstrapping; electricity prices; fuel uncertainty; heating degree days; partial equilibrium; Power system economics; snow reservoirs; Sobol sequence; unit outage uncertainty; wind uncertainty";"bootstrapping; Electricity prices; Heating degree-days; Partial equilibrium; Power system economics; Sobol sequence; unit outage uncertainty; Wind uncertainties; Commerce; Normal distribution; Outages; Stochastic models; Stochastic systems; Costs";4;2;1;0
Kristiansen T.;Forecasting Nord Pool day-ahead prices with an autoregressive model;2012;Energy Policy;52;This paper presents a model to forecast Nord Pool hourly day-ahead prices. The model is based on Weron and Misiorek (2008) but reduced in terms of estimation parameters (from 24 sets to 1) and modified to include Nordic demand and Danish wind power as exogenous variables. We model prices across all hours in the analysis period rather than across each single hour of 24. hours. By applying three model variants on Nord Pool data, we achieve a weekly mean absolute percentage error (WMAE) of around 6-7% and an hourly mean absolute percentage error (MAPE) ranging from 8% to 11%. Out of sample results yields a WMAE and an hourly MAPE of around 5%. The models enable analysts and traders to forecast hourly day-ahead prices accurately. Moreover, the models are relatively straightforward and user-friendly to implement. They can be set up in any trading organization. © 2012 Elsevier Ltd.;"Autoregressive exogenous model; Nordic power market; Price forecasting";"Auto regressive models; Autoregressive exogenous models; Day-ahead prices; Estimation parameters; Exogenous variables; Mean absolute percentage error; Model price; Power markets; Price forecasting; Three models; Commerce; Forecasting; Lakes; Wind power; Costs; accuracy assessment; demand analysis; economic analysis; energy market; error analysis; estimation method; forecasting method; model test; parameterization; wind power; Denmark";4;1;1;1
Carpio K.J.E., Go A.M.L., Roncal C.K.M.;Forecasting day-ahead electricity prices of Singapore through ARIMA and wavelet-ARIMA;2012;DLSU Business and Economics Review;1;The changes observed in the electricity markets over the past decade brought about developments in the field of electricity modeling. In this paper, traditional AutoRegressive Integrated Moving Average (ARIMA) models and Wavelet-ARIMA models arc applied to the Singapore electricity market, Asia's first liberalized electricity market. Forecasting will be done for each electricity price modelling technique and the adequacy of the models is tested through forecast accuracy. The comparison of forecast accuracy of the models is done across different data behaviors. Copyright © 2012 De La Salle University, Philippines.;"ARIMA; Electricity market; Forecasting; Wavelet-ARIMA";;4;0;1;0
Joëts M., Mignon V.;On the link between forward energy prices: A nonlinear panel cointegration approach;2012;Energy Economics;19;This paper investigates the relationship between forward prices of oil, gas, coal, and electricity using a nonlinear panel cointegration framework. To this end, we consider a panel of 35 maturities and control for the economic and financial environment using equity futures prices. Estimating the cointegrating relationship, we find that oil, gas and coal forward prices are positively linked, while the negative link between oil and electricity prices is consistent with a substitution effect between the two energy sources on the long run. Estimating panel smooth transition regression (PSTR) models, we show that the forward oil price adjustment process toward its equilibrium value is nonlinear and asymmetric, putting forward the key role played by self-sustaining dynamics and speculation phenomena. © 2011 Elsevier B.V.;"Forward energy prices; Nonlinear model; Panel cointegration; PSTR; Speculation";"Forward energy; Non-linear model; Panel cointegration; PSTR; Speculation; Economics; Energy resources; Costs; cointegration analysis; commodity price; energy market; numerical model; price dynamics; regression analysis";4;0;1;0
Vilar J.M., Cao R., Aneiros G.;Forecasting next-day electricity demand and price using nonparametric functional methods;2012;International Journal of Electrical Power and Energy Systems;87;One-day-ahead forecasting of electricity demand and price is an important issue in competitive electric power markets. Prediction task has been studied in previous works using, for instance, ARIMA models, dynamic regression and neural networks. This paper provides two new methods to address these two prediction setups. They are based on using nonparametric regression techniques with functional explanatory data and a semi-functional partial linear model. Results of these methods for the electricity market of mainland Spain, in years 2008-2009, are reported. The new forecasting functional methods are compared with a naïve method and with ARIMA forecasts. © 2012 Elsevier Ltd. All rights reserved.;"Demand and price; Electricity markets; Functional data; Time series forecasting";"ARIMA models; Demand and price; Electric power markets; Electricity demands; Electricity market; Electricity markets; Functional datas; Functional methods; Non-parametric; Nonparametric regression techniques; Partial linear models; Prediction tasks; Time series forecasting; Electricity; Forecasting";4;1;1;1
González V., Contreras J., Bunn D.W.;Forecasting power prices using a hybrid fundamental-econometric model;2012;IEEE Transactions on Power Systems;47;We investigate the performance of two hybrid forecasting models to predict the next-day base load electricity prices on the APX power exchange for Great Britain. Hybrid models have often been advocated as a synthetic method for forecasting, but it is an open question how well they perform at the day-ahead stage. A conventional hybrid approach combines a fundamental model, formulated with supply stack modeling, with an econometric model using data on price drivers. We extend this model to one based upon logistic smooth transition regression, which represents a regime-switching for periods of structural change. Empirical results for out-of-sample forecasting using both hybrid approaches are discussed and compared to non-hybrid time series forecasting methods. © 2006 IEEE.;"APX power exchange; electricity markets; fundamental model; hybrid model; logistic smooth transition regression; margin; price forecasting; volatility";"Electricity market; fundamental model; hybrid model; margin; Power exchange; Price forecasting; volatility; Costs; Forecasting; Mathematical models; Power quality; Time series; Electric load forecasting";2, 3, 4;1;1;1
Mezera J., Martínek Z., Majer V., Královcová V.;The nonlinear model by using neural networks for day-ahead price forecasting;2012;Proceedings of the 13th International Scientific Conference Electric Power Engineering 2012, EPE 2012;;This paper provides approaches for day-ahead electricity price forecasting together with problems existing in this field mainly with nonlinear character of modelation. The fundamental model by using neural networks is showed and output results are presented such as failure of the model. Comparison with already existed models and other approaches for prediction of electricity prices are mentioned and carried out in this article. As evidence of the correct function of this method difference between real results of the spot market and output of the model is presented.;"Backpropagation; Feedforward net; Neural network";"Backpropagation; Costs; Forecasting; Neural networks; Day-ahead prices; Electricity price forecasting; Electricity prices; Feed-Forward; Fundamental models; Non-linear model; Nonlinear characters; Spot market; Power markets";2, 5;0;1;0
Bobinaite V., Konstantinavičiute I.;Wholesale electricity price forecasting models: Lithuanian case;2012;7th International Conference on Electrical and Control Technologies, ECT 2012;;Six methods (naïve, weighted average, multiple regression, Holt-Winter, ARMA and VAR) are proposed to forecast wholesale electricity prices. Based on these methods 15 wholesale electricity price forecasting models are developed. They enabled to assess the impact of electricity production and consumption volume, net electricity import, electricity prices in neighboring countries, volume of electricity traded in power exchange as well wholesale electricity prices in the past on the future electricity price. The results told that wholesale electricity price forecasts prepared applying stochastic and regression methods were the most accurate. Accuracy increased, when exogenous forecasting factors were included.;"Electricity price; Forecasting method; Wholesale market";"Commerce; Costs; Forecasting; Regression analysis; Stochastic systems; Electricity imports; Electricity prices; Electricity production; Forecasting factors; Forecasting methods; Multiple regressions; Wholesale electricity; Wholesale markets; Power markets";0;0;0;0
Mori H., Itagaki T.;An electricity price zone forecasting method with fuzzy inference net;2012;IFAC Proceedings Volumes (IFAC-PapersOnline);3;This paper proposes a Fuzzy Inference Net (FIN) method for electricity price zone forecasting. Under smart grid environment, it is important for players to maximize profits and minimize risks though power markets while introducing renewable energy into grids. The time series of electricity price becomes more complicated due to the nonlinearity and uncertainties. To capture the behavior of the time series appropriately, more sophisticated methods are required to overcome them as a prediction tool. In this paper, a new method is proposed for price zone forecasting. The proposed method makes use of FIN that evaluates the association probability of unknown data to predetermined clusters with fuzzy inference and self-organization. The selection of input variables is determined by the variable importance of the CART algorithm of data mining. The association probability is used determine which zone the one-step ahead electricity price belong to. The proposed method is tested for real data in comparison with the conventional artificial neural network.;"Data mining; Fuzzy inference; Learning algorithm; Prediction methods; Self-organization systems; Time-series analysis";"Data mining; Electric power system control; Electric power transmission networks; Fins (heat exchange); Forecasting; Genetic algorithms; Inference engines; Learning algorithms; Neural networks; Power control; Power plants; Smart power grids; Time series analysis; Association probability; Electricity prices; Forecasting methods; Prediction methods; Renewable energies; Selection of input variables; Self organizations; Variable importances; Fuzzy inference";5;1;1;1
