Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output,Document Type
"Kâ D.A., Dominique G., Bertrand V.",A K-factor GIGARCH process: Estimation and application on electricity market spot prices,2004,2,"Some crucial time series of market data, such as electricity spot prices, exhibit long-memory, in the sense of slowly-decaying correlations, combined with heteroskedasticity. To be able to modelize such a behavior, we consider the k-factor GIGARCH process. The related parameter estimation problem is addressed using an extension of Whittle's estimation. We develop the corresponding asymptotic theory for estimation. We apply this approach to the electricity prices (spot prices) from the German energy market (European Energy eXchange). For these data, we propose two models of k-factor GIGARCH processes. To conclude the paper, we analyze in detail the forecasting performances of these models.",Heteroskedasticity; Long-memory; Spot prices; Whittle estimation,Asymptotic stability; Correlation methods; Costs; Electric industry; Electricity; Industrial economics; Mathematical models; Matrix algebra; Parameter estimation; Polynomials; Recursive functions; White noise; Heteroskedasticity; Long-memory; Spot prices; Whittle estimation; Electric rates,4,3,1,1,Conference
"Narajewski M., Ziel F.",Ensemble forecasting for intraday electricity prices: Simulating trajectories,2020,,"Recent studies concerning the point electricity price forecasting have shown evidence that the hourly German Intraday Continuous Market is weak-form efficient. Therefore, we take a novel, advanced approach to the problem. A probabilistic forecasting of the hourly intraday electricity prices is performed by simulating trajectories in every trading window to receive a realistic ensemble to allow for more efficient intraday trading and redispatch. A generalized additive model is fitted to the price differences with the assumption that they follow a zero-inflated distribution, precisely a mixture of the Dirac and the Student's t-distributions. Moreover, the mixing term is estimated using a high-dimensional logistic regression with lasso penalty. We model the expected value and volatility of the series using i.a. autoregressive and no-trade effects or load, wind and solar generation forecasts and accounting for the non-linearities in e.g. time to maturity. Both the in-sample characteristics and forecasting performance are analysed using a rolling window forecasting study. Multiple versions of the model are compared to several benchmark models and evaluated using probabilistic forecasting measures and significance tests. The study aims to forecast the price distribution in the German Intraday Continuous Market in the last 3 h of trading, but the approach allows for application to other continuous markets, especially in Europe. The results prove superiority of the mixture model over the benchmarks gaining the most from the modelling of the volatility. They also indicate that the introduction of XBID reduced the market volatility. © 2020 Elsevier Ltd",Continuous-trade markets; Electricity price forecasting; Ensemble forecasting; Generalized additive models; Intraday market; Lasso; Logistic regression; Power markets; Probabilistic forecasting; Scenario simulation; Short-term forecasting; Trajectories; XBID; Zero-inflated distribution,Commerce; Costs; Logistic regression; Mixtures; Solar power generation; Electricity price forecasting; Electricity prices; Ensemble forecasting; Forecasting performance; Generalized additive model; Market volatility; Probabilistic forecasting; Student's t distribution; Forecasting; electricity; ensemble forecasting; market conditions; performance assessment; price determination; simulation; Europe,4,1,2,2,Article
"Zhou M., Yan Z., Ni Y., Li G.",An ARIMA approach to forecasting electricity price with accuracy improvement by predicted errors,2004,31,"Accurate forecasting electricity price is becoming a crucial issue concerned by market participants either for developing bidding strategies or for making investment decisions. Due to the complicated factors affecting electricity prices, accurate forecasting price turns out to be very difficult and usually cannot be achieved by a single forecasting model. This paper proposes an ARIMA approach to price forecasting with accuracy improvement by predicted errors. Besides a conventional model for price forecasting, models for forecasting residual errors are also established iteratively. ARIMA models for forecasting daily average prices, based on historical data of Californian Power Market, are presented to validate the effectiveness of the proposed methodology. Results show that the method only requires easy-implemented low-order models instead of one complex model, while the accuracy of forecasting is improved significantly. The methodology can also be applied to forecasting market clearing prices and electricity loads.",ARTMA models; Electricity price forecasting; Error forecasting; Power markets,Chaos theory; Classification (of information); Costs; Electricity; Error analysis; Investments; Marketing; Risk assessment; Risk management; ARIMA models; Electricity price forecasting; Error forecasting; Power markets; Electric load forecasting,4,2,1,1,Conference
"Contreras J., Espínola R., Nogales F.J., Conejo A.J.",ARIMA models to predict next-day electricity prices,2003,932,"Price forecasting is becoming increasingly relevant to producers and consumers in the new competitive electric power markets. Both for spot markets and long-term contracts, price forecasts are necessary to develop bidding strategies or negotiation skills in order to maximize benefit. This paper provides a method to predict next-day electricity prices based on the ARIMA methodology. ARIMA techniques are used to analyze time series and, in the past, have been mainly used for load forecasting, due to their accuracy and mathematical soundness. A detailed explanation of the aforementioned ARIMA models and results from mainland Spain and Californian markets are presented.",ARIMA models; Electricity markets; Forecasting; Market clearing price; Time series analysis,Electric loads; Electric power systems; Time series analysis; Price forecasting; Electricity,4,1,1,1,Article
"Kim C.-I., Yu I.-K., Song Y.H.",Prediction of system marginal price of electricity using wavelet transform analysis,2002,56,"This paper proposes a novel wavelet transform based technique for prediction of the system marginal price (SMP) of electricity. Daubechies D1(Haar), D2 and D4 wavelet transforms are adopted, and the numerical results reveal that certain wavelet components can effectively be used to identify the SMP characteristics with relation to the system demand in electric power systems. The wavelet coefficients associated with certain frequency and time localization are adjusted using the conventional multiple regression method and then reconstructed in order to predict the SMP for the next scheduling day through a five scale synthesis technique. The outcome of the study clearly indicates that the proposed wavelet transform approach can be used as an attractive and effective means for SMP forecasting. © 2002 Elsevier Science Ltd. All rights reserved.",Power pool; System marginal price; Wavelet transform,Electric power systems; Electricity; Scheduling; Wavelet transforms; System marginal prices (SMP); Energy management,4,1,1,1,Article
"Nogales F.J., Contreras J., Conejo A.J., Espínola R.",Forecasting next-day electricity prices by time series models,2002,663,"In the framework of competitive electricity markets, power producers and consumers need accurate price forecasting tools. Price forecasts embody crucial information for producers and consumers when planning bidding strategies in order to maximize their benefits and utilities, respectively. This paper provides two highly accurate yet efficient price forecasting tools based on time series analysis: dynamic regression and transfer function models. These techniques are explained and checked against each other. Results and discussions from real-world case studies based on the electricity markets of mainland Spain and California are presented.",Electricity markets; Forecasting; Market clearing price; Time series analysis,Electricity markets; Electric industry; Electric load forecasting; Electric power utilization; Time series analysis; Transfer functions; Electric power systems,4,1,1,1,Article
"Lisi F., Shah I.",Forecasting next-day electricity demand and prices based on functional models,2020,,"Efficient modeling and forecasting of electricity demand and prices is an important issue in competitive electricity markets. This work investigates the forecasting performance of several models for the 1-day-ahead prediction of demand and prices on four electricity markets (APX Power-UK, Nord Pool, PJM and IPEX). All the models are based on two steps: a nonparametric estimation of some deterministic components, followed by the choice of a suitable model for the residual stochastic component. This latter step includes univariate and multivariate as well as parametric and nonparametric models, with particular emphasis on the functional approach, that models the whole daily profile as a single functional observation. More specifically, the models involved are: a linear model and a nonlinear (nonparametric) autoregressive model, a vector autoregressive model and four autoregressive functional specifications. Prediction covers a whole year. Comparisons are based both on descriptive statistics and on statistical tests of equal forecasting accuracy. Though results partly depend on specific markets, a double functional model always proved to be the best- or no different from the best-model, highlighting the effectiveness of the functional approach. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","APX, NP, IPEX, PJM; Electricity demand forecasting; Electricity prices forecasting; Functional models; Nonparametric models","Commerce; Costs; Electric power utilization; Forecasting; Stochastic models; Stochastic systems; APX, NP, IPEX, PJM; Electricity demand forecasting; Electricity prices forecasting; Functional model; Non-parametric model; Power markets",4,1,2,1,Article
"Niimura T., Ko H.-S., Ozawa K.",A day-ahead electricity price prediction based on a fuzzy-neuro autoregressive model in a deregulated electricity market,2002,38,"This paper presents a fuzzy regression model to estimate uncertain electricity market prices in deregulated industry environment. The price of electricity in a deregulated market is very volatile in time. Therefore, it is difficult to estimate an accurate market price using historically observed data. In the proposed method, uncertain market prices are estimated by an autoregressive model using a neural network, and the time series model is extended to fuzzy model to consider the possible ranges of market prices. The neural network finds the crisp value for AR model and then the low and high ranges of fuzzy model are found by linear programming. Therefore, the proposed model can represent the possible ranges of a day-ahead market price. For a numerical example, the model is applied to California Power Exchange market data.",Autoregression; Electricity market; Fuzzy numbers; Neural network; Price; Time series,Algorithms; Deregulation; Electric industry; Fees and charges; Forecasting; Fuzzy sets; Linear programming; Marketing; Mathematical models; Regression analysis; Time series analysis; Autoregression; Electricity market; Electricity price prediction; Fuzzy regression model; Multilayer neural networks,"4, 5",1,1,2,Conference
"Ni E., Luh P.B.",Forecasting power market clearing price and its discrete PDF using a Bayesian-based classification method,2001,49,"Neural network methods have been successfully used for various applications. In time series prediction problems, the regression models such as multiple layer perceptron (MLP) and the radial basis function network (RBF) are usually applied. However, they cannot predict the probability density function (PDF) that is critical for some applications. When there is noise or corrupt data in the process, these regression models could be misled, resulting in poor prediction accuracy. In this paper, a classification method combined with a simple regression model is presented to predict the discrete PDF of power market clearing prices, which is critical for many decision-makings such as optimizing bidding strategies, and is very difficult to predict because of high market uncertainties. Our basic idea is to form a number of classes by discretizing the variable to be predicted, and thus converts the time series prediction problem into a pattern classification problem. The classes are clustered based on historical data, and the input statistics (e.g., input mean and covariance matrix, etc.) corresponding to each class are obtained via clustering. Given a new input, these classes are sorted according to the posterior probabilities calculated by using the Bayes’ formula. The prediction is then generated by using an auto-regression method (AR) for the classes with high posterior probabilities. The classes are then updated after the actual output is available. The method developed can be seen as an RBF with variable structure. The posterior probabilities can be viewed as an approximation of the discrete PDF, providing valuable information for decision-makes and for what if analysis. The developed method has been used to predict the on-peak and off-peak average MCPs in the New England market. The testing results show that it outperforms the RBF network in terms of prediction accuracy and computational time.",Auto-regression; Bayes’ rule; Classification; Deregulated electric power markets; MCP prediction,Decision support systems; Electric power systems; Marketing; Multilayer neural networks; Probability density function; Radial basis function networks; Regression analysis; Time series analysis; Uncertain systems; Bayesian classification method; Power market clearing price; Regression model; Electric load forecasting,"4, 5",1,1,1,Article
"Gao F., Guan X., Cao X.-R., Papalexpoulos A.",Forecasting power market clearing price and quantity using a neural network method,2000,106,"Deregulation of the electric power industry worldwide raises many challenging issues. Forecasting the hourly market clearing prices and quantities in daily power markets is the most essential task and basis for any decision making. One approach to predict the market behaviors is to use the historical prices, quantities and other information to forecast the future prices and quantities. The basic idea is to use history and other estimated factors in the future to ""fit"" and ""extrapolate"" the prices and quantities. Aiming at this challenging task, we developed a neural network method to forecast the MCPs and MCQs for the California day-ahead energy markets. The structure of the neural network is a three-layer back propagation (BP) network. The historical MCPs and MCQs of California day-ahead energy market, the ISO load forecasts and other public information that may influence the markets are used for training, validating and forecasting test. Preliminary results show that our method is promising.",Artificial neural networks; Deregulated electric power markets; Price forecasting,Backpropagation; Decision making; Deregulation; Electric load forecasting; Electric rates; Extrapolation; Marketing; Neural networks; Electric power markets; Market clearing price; Market clearing quantity; Electric industry,"4, 5",1,1,1,Conference
"Koreneff Goran, Seppala Anssi, Lehtonen Matti, Kekkonen Veikko, Laitinen Erkki, Hakli Jukka, Antila Erkki",Electricity spot price forecasting as a part of energy management in de-regulated power market,1998,19,"A method for spot price forecasting in the electricity exchange is presented. In the beginning of the paper, the practices of the electricity exchange of Finland are described, and a brief presentation is given on the different contracts, or electricity products, available in the spot market. For comparison, the Nordic electricity exchange is also discussed. The structure of the forecasting model, based on time series analysis, is presented, and its validity is tested using real case data obtained from the Finnish power market. The spot price forecasting model is a part of a larger computer system for distribution energy management (DEM) in a de-regulated power market.",,Contracts; Costs; Deregulation; Electric rates; Electric utilities; Energy management; Mathematical models; Time series analysis; Distribution energy management (DEM); Spot price forecasting; Electric power systems,4,2,1,1,Article
"Janke T., Steinke F.",Probabilistic multivariate electricity price forecasting using implicit generative ensemble post-processing,2020,,"The reliable estimation of forecast uncertainties is crucial for risk-sensitive optimal decision making. In this paper, we propose implicit generative ensemble post-processing, a novel framework for multivariate probabilistic electricity price forecasting. We use a likelihood-free implicit generative model based on an ensemble of point forecasting models to generate multivariate electricity price scenarios with a coherent dependency structure as a representation of the joint predictive distribution. Our ensemble post-processing method outperforms well-established model combination benchmarks. This is demonstrated on a data set from the German day-Ahead market. As our method works on top of an ensemble of domain-specific expert models, it can readily be deployed to other forecasting tasks. © 2020 IEEE.",electricity price forecasting; ensemble learning; implicit generative models; Probabilistic forecasting,Forecasting; Processing; Risk perception; Dependency structures; Electricity price forecasting; Electricity prices; Ensemble post-processing; Forecast uncertainty; Forecasting models; Optimal decision making; Predictive distributions; Power markets,4,1,1,2,Conference
"Burger M., Klar B., Müller A., Schindlmayr G.",A spot market model for pricing derivatives in electricity markets,2004,119.0,"In this paper, we analyse the evolution of prices in deregulated electricity markets. We present a general model that simultaneously takes into account the following features: seasonal patterns, price spikes, mean reversion, price dependent volatilities and long term non-stationarity. We estimate the parameters of the model using historical data from the European Energy Exchange. Finally, we demonstrate how it can be used for pricing derivatives via Monte Carlo simulation. © 2004 Taylor & Francis Group, LLC. All rights reserved.",,,4,1,1,1,Article
"Motamedi A., Zareipour H., Rosehart W.D.",Electricity price and demand forecasting in smart grids,2012,112.0,"In future smart grids, consumers of electricity will be enabled to react to electricity prices. The aggregate reaction of consumers can potentially shift the demand curve in the market, resulting in prices that may differ from the initial forecasts. In this paper, a hybrid forecasting framework is proposed that takes such dynamics into account when forecasting electricity price and demand. The proposed framework combines a multi-input multi-output (MIMO) forecasting engine for joint price and demand prediction with data association mining (DAM) algorithms. In this framework, a DAM-based rule extraction mechanism is used to determine and extract the patterns in consumers' reaction to price forecasts. The extracted rules are then employed to fine-tune the initially generated demand and price forecasts of a MIMO engine. Simulation results are presented using Australia's and New England's electricity market data. © 2012 IEEE.",Demand forecasting; demand responsiveness; price elasticity; price forecasting; rule extraction,Demand forecasting; demand responsiveness; Price elasticity; Price forecasting; Rule extraction; Costs; Elasticity; Electricity; Hydraulic structures; MIMO systems; Smart power grids; Forecasting,"4, 5",1,1,1,Article
"Nogales F.J., Conejo A.J.",Electricity price forecasting through transfer function models,2006,95.0,"Forecasting electricity prices in presentday competitive electricity markets is a must for both producers and consumers because both need price estimates to develop their respective market bidding strategies. This paper proposes a transfer function model to predict electricity prices based on both past electricity prices and demands, and discuss the rationale to build it. The importance of electricity demand information is assessed. Appropriate metrics to appraise prediction quality are identified and used. Realistic and extensive simulations based on data from the PJM Interconnection for year 2003 are conducted. The proposed model is compared with naïve and other techniques. © 2006 Operational Research Society Ltd. All rights reserved.",Electricity markets; Forecasting; Time-series analysis,Competitive intelligence; Electric load forecasting; Electric utilities; Strategic planning; Time series analysis; Transfer functions; Electricity markets; Price estimates; Quality predictions; Transfer function models; Electric rates,"2, 4",1,1,1,Article
"García-Martos C., Rodríguez J., Sánchez M.J.",Mixed models for short-run forecasting of electricity prices: Application for the Spanish market,2007,90.0,"Short-run forecasting of electricity prices has become necessary for power generation unit schedule, since it is the basis of every profit maximization strategy. In this article a new and very easy method to compute accurate forecasts for electricity prices using mixed models is proposed. The main idea is to develop an efficient tool for one-step-ahead forecasting in the future, combining several prediction methods for which forecasting performance has been checked and compared for a span of several years. Also as a novelty, the 24 hourly time series has been modelled separately, instead of the complete time series of the prices. This allows one to take advantage of the homogeneity of these 24 time series. The purpose of this paper is to select the model that leads to smaller prediction errors and to obtain the appropriate length of time to use for forecasting. These results have been obtained by means of a computational experiment. A mixed model which combines the advantages of the two new models discussed is proposed. Some numerical results for the Spanish market are shown, but this new methodology can be applied to other electricity markets as well. © 2007 IEEE.",Design of experiments; Electricity markets; Forecasting; Marginal price; Time series analysis,Design of experiments; Electric utilities; Error analysis; Forecasting; Mathematical models; Time series analysis; Utility rates; Electricity prices; Marginal price; Mixed models; Electric industry,4,1,1,1,Article
"Lu X., Dong Z.Y., Li X.",Electricity market price spike forecast with data mining techniques,2005,88.0,"Electricity market price forecast is a changeling yet very important task for electricity market managers and participants. Due to the complexity and uncertainties in the power grid, electricity prices are highly volatile and normally carry with spikes, which may be tens or even hundreds of times higher than the normal price. Such electricity spikes are very difficult to be predicted. So far, most of the research on electricity price forecast is based on the normal range electricity prices. This paper proposes a data mining based electricity price forecast framework, which can predict the normal price as well as the price spikes. The normal price can be predicted by a previously proposed wavelet and neural network based forecast model, while the spikes are forecasted based on a data mining approach. This paper focuses on the spike prediction and explores the reasons for price spikes based on the measurement of a proposed composite supply-demand balance index (SDI) and relative demand index (RDI). These indices are able to reflect the relationship among electricity demand, electricity supply and electricity reserve capacity. The proposed model is based on a mining database including market clearing price, trading hour, electricity demand, electricity supply and reserve. Bayesian classification and similarity searching techniques are used to mine the database to find out the internal relationships between electricity price spikes and these proposed. The mining results are used to form the price spike forecast model. This proposed model is able to generate forecasted price spike, level of spike and associated forecast confidence level. The model is tested with the Queensland electricity market data with promising results. Crown Copyright © 2004 Published by Elsevier B.V. All rights reserved.",Data mining; Electricity price forecast; Price spike; Statistical analysis,Data mining; Database systems; Electric industry; Forecasting; Industrial economics; Mathematical models; Neural networks; Statistical methods; Wavelet transforms; Electricity price forecasting; Price spikes; Relative demand index (RDI); Supply-demand balance index (SDI); Electricity,"4, 5",1,1,1,Article
"Areekul P., Senjyu T., Toyama H., Yona A.",A hybrid ARIMA and neural network model for short-term price forecasting in deregulated market,2010,87.0,"In the framework of competitive electricity markets, power producers and consumers need accurate price forecasting tools. Price forecasts embody crucial information for producers and consumers when planning bidding strategies in order to maximize their benefits and utilities, respectively. The choice of the forecasting model becomes the important influence factor on how to improve price forecasting accuracy. This paper provides a hybrid methodology that combines both autoregressive integrated moving average (ARIMA) and artificial neural network (ANN) models for predicting short-term electricity prices. This method is examined by using the data of Australian national electricity market, New South Wales, in the year 2009. Comparison of forecasting performance with the proposed ARIMA, ANN, and hybrid models are presented. Empirical results indicate that a hybrid ARIMA-ANN model can improve the price forecasting accuracy. © 2009 IEEE.",Artificial neural networks (ANNs); Australian national electricity market (NEM); Autoregressive integrated moving average (ARIMA); Electricity; Price forecasting,Artificial neural network models; Artificial neural networks; Auto-regressive integrated moving average; Bidding strategy; Competitive electricity markets; Deregulated markets; Electricity price forecasting; Electricity prices; Empirical results; Forecasting models; Forecasting performance; Hybrid methodologies; Hybrid model; Influence factors; National electricity markets; Neural network model; New South Wales; Power producer; Price forecasting; Price forecasts; Short-term price forecasting; Commerce; Costs; Deregulation; Electricity; Neural networks; Electric load forecasting,"4, 5",1,1,1,Article
"Escribano A., Ignacio Peña J., Villaplana P.",Modelling electricity prices: International evidence,2011,71.0,"This article analyses the evolution of electricity prices in deregulated markets. We present a general class of models that simultaneously takes into account several factors: seasonality, mean reversion, GARCH behaviour and time-dependent jumps. The models are applied to daily equilibrium spot prices of eight electricity markets. Eight different nested models were estimated to compare the relative importance of each factor in each of the eight markets. We find strong evidence that electricity equilibrium prices are mean-reverting, with volatility clustering (GARCH) and with jumps of time-dependent intensity, even after adjusting for seasonality. © Blackwell Publishing Ltd and the Department of Economics, University of Oxford, 2011.",,,4,1,1,1,Article
"Yan X., Chowdhury N.A.",Mid-term electricity market clearing price forecasting: A hybrid LSSVM and ARMAX approach,2013,69.0,"A hybrid mid-term electricity market clearing price (MCP) forecasting model combining both least squares support vector machine (LSSVM) and auto-regressive moving average with external input (ARMAX) modules is presented in this paper. Mid-term electricity MCP forecasting has become essential for resources reallocation, maintenance scheduling, bilateral contracting, budgeting and planning purposes. Currently, there are many techniques available for short-term electricity market clearing price (MCP) forecasting, but very little has been done in the area of mid-term electricity MCP forecasting. PJM interconnection data have been utilized to illustrate the proposed model with numerical examples. The proposed hybrid model showed improved forecasting accuracy compared to a forecasting model using a single LSSVM. © 2013 Elsevier Ltd. All rights reserved.",Auto-regressive moving average with external input (ARMAX); Deregulated electric market Electricity market clearing price (MCP); Electricity price forecasting; Least squares support vector machine (LSSVM); PJM,Electricity market; Electricity price forecasting; External input; Least squares support vector machines; PJM; Budget control; Costs; Deregulation; Electric industry; Electric load forecasting; Forecasting,"4, 5",2,1,1,Article
Chaâbane N.,A hybrid ARFIMA and neural network model for electricity price prediction,2014,58.0,"In the framework of competitive electricity market, prices forecasting has become a real challenge for all market participants. However, forecasting is a rather complex task since electricity prices involve many features comparably with those in financial markets. Electricity markets are more unpredictable than other commodities referred to as extreme volatile. Therefore, the choice of the forecasting model has become even more important. In this paper, a new hybrid model is proposed. This model exploits the feature and strength of the Auto-Regressive Fractionally Integrated Moving Average (ARFIMA) model as well as the feedforward neural networks model. The expected prediction combination takes advantage of each model's strength or unique capability. The proposed model is examined by using data from the Nordpool electricity market. Empirical results showed that the proposed method has the best prediction accuracy compared to other methods. © 2013 Elsevier Ltd. All rights reserved.",ANN; ARFIMA; Electricity price prediction; Hybrid model; NordPool electricity market,ANN; ARFIMA; Electricity market; Electricity prices; Hybrid model; Commerce; Costs; Electric industry; Electricity; Feedforward neural networks; Forecasting,"4, 5",2,1,1,Article
"Catalão J.P.S., Pousinho H.M.I., Mendes V.M.F.",Short-term electricity prices forecasting in a competitive market by a hybrid intelligent approach,2011,52.0,"In this paper, a hybrid intelligent approach is proposed for short-term electricity prices forecasting in a competitive market. The proposed approach is based on the wavelet transform and a hybrid of neural networks and fuzzy logic. Results from a case study based on the electricity market of mainland Spain are presented. A thorough comparison is carried out, taking into account the results of previous publications. Conclusions are duly drawn. © 2010 Elsevier Ltd. All rights reserved.",Electricity market; Fuzzy logic; Neural networks; Price forecasting; Wavelet transform,Competitive markets; Electricity market; Hybrid intelligent approach; Price forecasting; Short-term electricity prices forecasting; Commerce; Costs; Electric industry; Fuzzy logic; Fuzzy neural networks; Fuzzy systems; Wavelet transforms; Electric load forecasting,"4, 5",1,1,1,Article
"Christensen T.M., Hurn A.S., Lindsay K.A.",Forecasting spikes in electricity prices,2012,50.0,"In many electricity markets, retailers purchase electricity at an unregulated spot price and sell to consumers at a heavily regulated price. Consequently, the occurrence of spikes in the spot electricity price represents a major source of risk for retailers, and the forecasting of these price spikes is important for effective risk management. Traditional approaches to modelling electricity prices have aimed to predict the trajectory of spot prices. In contrast, this paper focuses on the prediction of price spikes. The time series of price spikes is treated as a discrete-time point process, and a nonlinear variant of the autoregressive conditional hazard model is used to model this process. The model is estimated using half-hourly data from the Australian electricity market for the period 1 March 2001 to 30 June 2007. One-step-ahead forecasts of the probability of a price spike are then generated for each half hour in the forecast period, 1 July 2007 to 30 September 2007. The forecasting performance of the model is then evaluated against a benchmark that is consistent with the assumptions of commonly-used electricity pricing models. © 2011 International Institute of Forecasters.",Autoregressive conditional duration; Autoregressive conditional hazard; Electricity futures; Electricity prices; Price spikes,,4,1,1,1,Article
"Seifert J., Uhrig-Homburg M.",Modelling jumps in electricity prices: Theory and empirical evidence,2007,45.0,"Objective of this paper is to enhance the understanding of modelling jumps and to analyse the model risk based on the jump component in electricity markets. We provide a common modelling framework that allows to incorporate the main jump patterns observed in electricity spot prices and compare the effectiveness of different jump specifications. To this end, we calibrate the models to daily European Energy Exchange (EEX) market data through Markov Chain Monte Carlo based methods. To assess the quality of the estimated jump processes, we analyse their trajectorial and statistical properties. Moreover, even when the models are calibrated to a cross-section of derivative prices substantial model risk remains. © 2007 Springer Science+Business Media, LLC.",Derivatives pricing; Electricity prices; Jump diffusion; Model risk,,4,1,1,1,Article
"Haldrup N., Nielsen F.S., Nielsen M.Ø.",A vector autoregressive model for electricity prices subject to long memory and regime switching,2010,43.0,"A regime dependent VAR model is suggested that allows long memory (fractional integration) in each of the observed regime states as well as the possibility of fractional cointegration. The model is motivated by the dynamics of electricity prices where the transmission of power is subject to occasional congestion periods. For a system of bilateral prices non-congestion means that electricity prices are identical whereas congestion makes prices depart. Hence, the joint price dynamics implies switching between a univariate price process under non-congestion and a bivariate price process under congestion. At the same time, it is an empirical regularity that electricity prices tend to show a high degree of long memory, and thus that prices may be fractionally cointegrated.Analysis of Nord Pool data shows that even though the prices are identical under non-congestion, the prices are not, in general, fractionally cointegrated in the congestion state. Hence, in most cases price convergence is a property following from regime switching rather than a conventional error correction mechanism. Finally, the suggested model is shown to deliver forecasts that are more precise compared to competing models. © 2010 Elsevier B.V.",Cointegration; Electricity prices; Fractional integration; Long memory; Regime switching,Cointegration; Electricity prices; Fractional integration; Long memories; Regime switching; Electric load forecasting; Electricity; Lakes; Switching; Costs; cointegration analysis; commodity price; electricity; empirical analysis; error correction; forecasting method; numerical model; price determination; price dynamics; vector autoregression,4,1,1,1,Article
"Amjady N., Keynia F.",Electricity market price spike analysis by a hybrid data model and feature selection technique,2010,40.0,"In a competitive electricity market, energy price forecasting is an important activity for both suppliers and consumers. For this reason, many techniques have been proposed to predict electricity market prices in the recent years. However, electricity price is a complex volatile signal owning many spikes. Most of electricity price forecast techniques focus on the normal price prediction, while price spike forecast is a different and more complex prediction process. Price spike forecasting has two main aspects: prediction of price spike occurrence and value. In this paper, a novel technique for price spike occurrence prediction is presented composed of a new hybrid data model, a novel feature selection technique and an efficient forecast engine. The hybrid data model includes both wavelet and time domain variables as well as calendar indicators, comprising a large candidate input set. The set is refined by the proposed feature selection technique evaluating both relevancy and redundancy of the candidate inputs. The forecast engine is a probabilistic neural network, which are fed by the selected candidate inputs of the feature selection technique and predict price spike occurrence. The efficiency of the whole proposed method for price spike occurrence forecasting is evaluated by means of real data from the Queensland and PJM electricity markets. © 2009 Elsevier B.V. All rights reserved.",Feature selection technique; Hybrid data model; Price spike occurrence prediction,Competitive electricity markets; Data models; Electricity market; Electricity prices; Energy prices; Feature selection; Input set; Novel techniques; Prediction process; Price prediction; Price spike; Probabilistic neural networks; Queensland; Time domain variable; Costs; Electric load forecasting; Electricity; Models; Neural networks; Commerce,"4, 5",1,1,1,Article
"Zeineldin H.H., El-Fouly T.H.M., El-Saadany E.F., Salama M.M.A.",Impact of wind farm integration on electricity market prices,2009,39.0,"Wind generation is considered one of the most rapidly increasing resources among other distributed generation technologies. Recently, wind farms with considerable output power rating are installed. The variability of the wind output power, and the forecast inaccuracy could have an impact on electricity market prices. These issues have been addressed by developing a single auction market model to determine the close to real-time electricity market prices. The market-clearing price was determined by formulating an optimal power flow problem while considering different operational strategies. Inaccurate power prediction can result in either underestimated or overestimated market prices, which would lead to either savings to customers or additional revenue for generator suppliers. © 2008 The Institution of Engineering and Technology.",,Costs; Electric load forecasting; Electric utilities; Electricity; Forecasting; Power electronics; Wind power; Auction markets; Clearing prices; Distributed generation technologies; Electricity market prices; Market prices; Operational strategies; Optimal Power Flow problems; Output powers; Power predictions; Wind farms; Wind generations; Marketing,4,1,1,1,Article
"Pedregal D.J., Trapero J.R.",Electricity prices forecasting by automatic dynamic harmonic regression models,2007,39.0,"The changes experienced by electricity markets in recent years have created the necessity for more accurate forecast tools of electricity prices, both for producers and consumers. Many methodologies have been applied to this aim, but in the view of the authors, state space models are not yet fully exploited. The present paper proposes a univariate dynamic harmonic regression model set up in a state space framework for forecasting prices in these markets. The advantages of the approach are threefold. Firstly, a fast automatic identification and estimation procedure is proposed based on the frequency domain. Secondly, the recursive algorithms applied offer adaptive predictions that compare favourably with respect to other techniques. Finally, since the method is based on unobserved components models, explicit information about trend, seasonal and irregular behaviours of the series can be extracted. This information is of great value to the electricity companies' managers in order to improve their strategies, i.e. it provides management innovations. The good forecast performance and the rapid adaptability of the model to changes in the data are illustrated with actual prices taken from the PJM interconnection in the US and for the Spanish market for the year 2002. © 2006 Elsevier Ltd. All rights reserved.",Dynamic harmonic regression; Electricity markets; Forecasting; State space systems,Algorithms; Costs; Electric load forecasting; Frequency domain analysis; Harmonic analysis; Mathematical models; Recursive functions; Regression analysis; State space methods; Dynamic harmonic regression; Electricity markets; Forecast performance; State space systems; Energy management,4,1,1,1,Article
