Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,Type of method/model,Horizon,Market,Output,Document Type,Approach,Model
"Azadeh A., Ghaderi S.F., Nokhandan B.P., Nassiri S.",Improved one day-ahead price forecasting using combined time series and artificial neural network models for the electricity market,2011,12,"The price forecasts embody crucial information for generators when planning bidding strategies to maximise profits. Therefore, generation companies need accurate price forecasting tools. Comparison of neural network and auto regressive integrated moving average (ARIMA) models to forecast commodity prices in pervious researches showed that the artificial neural network (ANN) forecasts were considerably more accurate than traditional ARIMA models. This paper provides an accurate and efficient tool for shortterm price forecasting based on the combination of ANN and ARIMA. Firstly, input variables for ANN are determined by time series analysis. This model relates the current prices to the values of past prices. Secondly, ANN is used for one day-ahead price forecasting. A three-layered feed-forward neural network algorithm is used for forecasting next-day electricity prices. The ANN model is then trained and tested using data from electricity market of Iran. According to pervious studies, in the case of neural networks and ARIMA models, historical demand data do not significantly improve predictions. The results show that the combined ANN-ARIMA forecasts prices with high accuracy for short-term periods. Also, it is shown that policy-making strategies would be enhanced due to increased precision and reliability. Copyright © 2011 Inderscience Enterprises Ltd.",ANN; Artificial neural network; Competitive market; Short-term price forecasting,Commerce; Costs; Electric industry; Electronic trading; Feedforward neural networks; Forecasting; Multilayer neural networks; Neural networks; Time series analysis; Artificial neural network models; Auto regressive integrated moving average models; Competitive markets; Electricity prices; Generation companies; Policy making strategies; Price forecasting; Short-term price forecasting; Power markets,"4, 5",1,1,1,Article,1,a
"Anbazhagan S., Kumarappan N.",Day-ahead price forecasting in asia's first liberalized electricity market using artificial neural networks,2011,11,"This paper proposes a comparative model for the day-ahead electricity price forecasting that could be realized using multi-layer neural network (MLNN) with levenberg-marquardt (LM) algorithm, generalized regression neural network (GRNN) and cascade-forward neural network (CFNN). In this work applications of various models were applied to national electricity market of Singapore (NEMS), i.e. Asia's first liberalized electricity market. The individual price of year 2006 is very volatile with a very wide range. Therefore, accurate forecasting models are required for Singapore electricity market company (EMC) to maximize their profits and for consumers to maximize their utilities. Hence the year 2006 has been taken for forecasting the uniform Singapore electricity price (USEP). The mean absolute percentage error (MAPE) results show that the proposed CFNN model possess better forecasting abilities than the other models and its performance was least affected by the volatility. © 2011 Taylor & Francis Group, LLC.",Cascade-forward neural network (CFNN); Generalized regression neural network (GRNN); Levenberg-marquardt (LM) algorithm; National electricity market of singapore (NEMS); Price forecasting; Uniform singapore energy price (USEP),Commerce; Costs; Deep neural networks; Electric industry; Electromagnetic compatibility; Forecasting; Network layers; Neural networks; Generalized Regression Neural Network(GRNN); Levenberg-Marquardt algorithm; National electricity market of singapore (NEMS); Price forecasting; Uniform singapore energy prices (USEP); Power markets,5,2,1,1,Article,1,a
"Sun Y., Bansal R.C., Bhardwaj A.K., Srivastava A.K.",Electricity market price forecasting using support vector machines,2011,3,"Due to the electricity market deregulation, the techniques used for load forecasting have gradually improved over the years. Deregulation in the power system industry has caused rising requirement in planning, operating and controlling electric energy systems, which brings electricity load forecasting to a crucial level. Therefore, adequate techniques are desired for accurately predicting the load and hence assisting power companies in generating capacity scheduling, maintenance, energy planning and procurement, etc. An accurate forecast can greatly help power distribution companies to improve their electricity marketing strategies and avoid over or under unitisation of generating capacity and therefore optimises energy prices. But, to predict the load demand in real time requires a considerable amount of efforts. This paper presents a design methodology for a short term load forecasting useful for distribution companies, which are capable of interacting with users, gathering historical load data, performing a statistical analysis on the historical data and plotting graphs of the predicted load using the support vector machine (SVM). SVM is the chosen forecasting technique because many studies have concluded that SVMs produce the optimum accuracy as compared to other methods such as Naive Bayesian, but SVM has not been optimised for the domain. © 2011 Inderscience Enterprises Ltd.",deregulation; load forecasting; short term load forecasting; STLF; support vector machine; SVM,,5,1,1,1,Article,4,
"Tian H., Zhang M., Meng B.",Prediction of day-ahead electricity price based on information fusion,2010,2,"Aiming at the characters of day-ahead electricity price, a novel information fusion method is proposed. A new neural network method ELM is selected for its better performance as the core algorithm of information fusion. Using the information fusion ideas, a new modeling approach is proposed to establish the prediction model. The day-ahead electricity price prediction model is tested by the real data. The experiments demonstrate that the new prediction model established by ELM information fusion method has better performance. © 2010 IEEE.",electricity market; electricity price prediction; Information fusion; neural network,Core algorithms; Electricity market; electricity price prediction; Electricity prices; Information fusion method; Modeling approach; Neural network method; Novel information; Prediction model; Computer applications; Costs; Electricity; Mathematical models; Neural networks; Information fusion,5,1,1,1,Conference,1,b
"Giri R., Chowdhury A., Ghosh A., Panigrahi B.K., Mohapatra A.",Electricity price forecasting: A hybrid wavelet transform and evolutionary-ANN approach,2010,1,"In a restructured power market, the forecasting of price of electricity has drawn attention of researchers for an accurate forecasting of the electricity price. Electricity price forecast provides important information to the electricity market managers and participants. However, electricity price is a complex signal due to its non-linear, non-stationary, and time variant behavior. In spite of performed research in this area, more accurate and robust price forecast methods are still required. In this article a novel technique has been proposed to forecast the electricity prices using wavelet transform and a Feed-Forward Neural Network trained by a Meta heuristic algorithm i.e. Invasive Weed Optimization technique (IWO). The wavelet transform has been used to decompose ill-behaved price series in a set of better constitutive series. Here we have used the data of electricity market of Australia in year 2005 and the reported results have been compared with the ANN, trained by back propagation algorithm. © 2010 IEEE.",ANN; Electricity market; IWO; Metaheuristics; Price forecasting; Wavelet transform,ANN; Electricity market; IWO; Meta heuristics; Price forecasting; Commerce; Costs; Electric industry; Electric load forecasting; Electricity; Heuristic algorithms; Neural networks; Power electronics; Wavelet transforms,5,1,1,1,Conference,1,a
"Areekul P., Senjyu T., Urasaki N., Yona A.",Next day price forecasting in deregulated Market by combination of artificial neural network and ARIMA time series models,2010,4,"Electricity price forecasting is becoming increasingly relevant to power producers and consumers in the new competitive electric power markets, when planning bidding strategies in order to maximize their benefits and utilities, respectively. This paper proposed a method to predict hourly electricity prices for next-day electricity markets by combination methodology of ARIMA and ANN models. The proposed method is examined on the Australian National Electricity Market (NEM), New South Wales regional in year 2006. Comparison of forecasting performance with the proposed ARIMA, ANN and combination (ARIMA-ANN) models are presented. Empirical results indicate that an ARIMA-ANN model can improve the price forecasting accuracy. © 2010 IEEE.",ARIMA; Back-propagation; Combination methodology; Electricity price forecasting; Neural network,ARIMA; Artificial Neural Network; Bidding strategy; Combination methodology; Deregulated markets; Electric power markets; Electricity market; Electricity price forecasting; Electricity prices; Empirical results; Forecasting performance; National electricity markets; New South Wales; Power producer; Price forecasting; Time series models; Backpropagation; Commerce; Costs; Deregulation; Electricity; Industrial electronics; Neural networks; Time series; Electric load forecasting,"4, 5",1,1,1,Conference,1,a
"Tian H., Meng B., Wang S.",Day-ahead electricity price prediction based on multiple ELM,2010,4,"Aiming at the characters of day-ahead electricity price, an electricity price prediction model is established by combining the intelligent modeling methods. A new neural network method ELM is selected for its better performance to establish the basic day-ahead electricity price prediction model. Using the information fusion and ensemble ideas, a multiple ELM modeling approach is proposed to establish the prediction model. The day-ahead electricity price prediction model is tested by the real data. The experiments demonstrate that the new prediction model established by the new method has better performance. © 2010 IEEE.",Electricity market; Electricity price prediction; ELM; Neural network,Electricity market; Electricity price prediction; Electricity prices; Intelligent modeling; Modeling approach; Neural network method; Prediction model; Costs; Electric industry; Electricity; Forecasting; Mathematical models; Neural networks; Commerce,5,1,1,1,Conference,1,b
"Wu L., Shahidehpour M.",A hybrid model for day-ahead price forecasting,2010,120,"This paper presents a hybrid time-series and adaptive wavelet neural network (AWNN) model for the day-ahead electricity market clearing price forecast. Instead of using price series, one-period continuously compounded return series is used to achieve more attractive statistical properties. The autoregressive moving average with exogenous variables (ARMAX) model is used to catch the linear relationship between price return series and explanatory variable load series, the generalized autoregressive conditional heteroscedastic (GARCH) model is used to unveil the heteroscedastic character of residuals, and AWNN is used to present the nonlinear, nonstationary impact of load series on electricity prices. The Monte Carlo method is adopted to generate more evenly distributed random numbers used for time series and AWNN models to accelerate the convergence. Several criteria such as average mean absolute percentage error (AMAPE) and the variance of forecast errors are used to assess the model and measure the forecasting accuracy. Illustrative price forecasting examples of the PJM market are presented to show the efficiency of the proposed method. © 2010 IEEE.",AMAPE; ARMAX; AWNN; day-ahead price forecast; GARCH; Monte Carlo; time series method; variance of forecast errors,Adaptive wavelet neural network; Auto-regressive; Autoregressive moving average with exogenous variables; Day-ahead electricity market; Day-ahead prices; Electricity prices; Explanatory variables; Forecast errors; Forecasting accuracy; Heteroscedastic; Hybrid model; Linear relationships; Load series; Mean absolute percentage error; MONTE CARLO; Nonstationary; Price forecasting; Price returns; Random Numbers; Statistical properties; Time series method; Costs; Errors; Monte Carlo methods; Neural networks; Random number generation; Time series; Wavelet transforms; Electric load forecasting,"4, 5","1, 2",1,1,Article,1,a
"Karsaz A., Mashhadi H.R., Mirsalehi M.M.",Market clearing price and load forecasting using cooperative co-evolutionary approach,2010,25,"The deregulation of electric power supply industries has raised many challenging problems. One of the most important ones is forecasting the market clearing price (MCP) of electricity. Decisions on various issues, such as to buy or sell electricity and to offer a transaction to the market, require accurate knowledge of the MCP. Another problem, which has also been an important issue of the traditional power systems, is load forecasting for both short and long terms. In this paper, a new forecasting method is introduced to predict the next day electricity price and load. The proposed method is based on cooperative co-evolutionary (Co-Co) approach and has been applied to the real power market. Most of the conventional forecasting methods are based on a single neural network prediction. These methods might misrepresent parts of the input-output data mapping that could have been correctly represented by cooperation of multiple networks. In this paper, a new Co-Co adaptive algorithm with adjustable connections in a recursive procedure is proposed. The obtained results show significant improvement in both price and load forecasting. © 2009 Elsevier Ltd. All rights reserved.",Cooperative co-evolutionary approach; Deregulation of electric power market; Price and load forecasting,Co-evolutionary; Co-evolutionary approach; Cooperative co-evolutionary approach; Electric power markets; Electric power supply; Electricity prices; Forecasting methods; Input-output data; Load forecasting; Long term; Market Clearing Price; Market clearing prices; Multiple networks; Network prediction; Price and load forecasting; Real power; Recursive procedure; Single neural; Traditional power system; Adaptive algorithms; Commerce; Costs; Deregulation; Electric power measurement; Electric power systems; Image storage tubes; Neural networks; Trajectories; Electric load forecasting,5,2,1,1,Article,1,a
"Niu D., Liu D., Wu D.D.",A soft computing system for day-ahead electricity price forecasting,2010,47,"Hourly energy prices in a competitive electricity market are volatile. Forecast of energy price is key information to help producers and purchasers involved in electricity market to prepare their corresponding bidding strategies so as to maximize their profits. It is difficult to forecast all the hourly prices with only one model for different behaviors of different hourly prices. Neither will it get excellent results with 24 different models to forecast the 24 hourly prices respectively, for there are always not sufficient data to train the models, especially the peak price in summer. This paper proposes a novel technique to forecast day-ahead electricity prices based on Self-Organizing Map neural network (SOM) and Support Vector Machine (SVM) models. SOM is used to cluster the data automatically according to their similarity to resolve the problem of insufficient training data. SVM models for regression are built on the categories clustered by SOM separately. Parameters of the SVM models are chosen by Particle Swarm Optimization (PSO) algorithm automatically to avoid the arbitrary parameters decision of the tester, improving the forecasting accuracy. The comparison suggests that SOM-SVM-PSO has considerable value in forecasting day-ahead price in Pennsylvania-New Jersey-Maryland (PJM) market, especially for summer peak prices. © 2009 Elsevier B.V. All rights reserved.",Electricity price forecasting; Particle Swarm Optimization; Self-Organizing Mapping (SOM); Support Vector Machine (SVM),Bidding strategy; Competitive electricity markets; Day-ahead prices; Electricity market; Electricity price forecasting; Electricity prices; Energy prices; Forecasting accuracy; Hourly prices; Maryland; New Jersey; Novel techniques; Particle swarm optimization algorithm; Peak prices; Pennsylvania; Self-organizing map neural network; Self-organizing mapping; SVM model; Training data; Commerce; Conformal mapping; Costs; Electric load forecasting; Electricity; Neural networks; Profitability; Soft computing; Strength of materials; Support vector machines; Particle swarm optimization (PSO),5,1,1,1,Article,4,
"Amjady N., Keynia F.",Application of a new hybrid neuro-evolutionary system for day-ahead price forecasting of electricity markets,2010,37,"In this paper, a new forecast strategy is proposed for day-ahead prediction of electricity prices, which are so valuable for both producers and consumers in the new competitive electric power markets. However, electricity price has a nonlinear, volatile and time dependent behavior owning many outliers. Our forecast strategy is composed of a preprocessor and a Hybrid Neuro-Evolutionary System (HNES). Preprocessor selects the input features of the HNES according to MRMR (Maximum Relevance Minimum Redundancy) principal. The HNES is composed of three Neural Networks (NN) and Evolutionary Algorithms (EA) in a cascaded structure with a new data flow among its building blocks. The effectiveness of the whole proposed method is demonstrated by means of real data of the PJM and Spanish electricity markets. Also, the proposed price forecast strategy is compared with some of the most recent techniques in the area. © 2009 Elsevier B.V. All rights reserved.",Evolutionary algorithm; Hybrid neuro-evolutionary system; Neural network; Price forecast,Building blockes; Cascaded structure; Data flow; Day-ahead prices; Electric power markets; Electricity market; Electricity prices; Hybrid neuro-evolutionary system; Input features; Neuro-evolutionary systems; Preprocessors; Price forecast; Price forecasts; Time dependent behavior; Cascade control systems; Commerce; Costs; Electric load forecasting; Neural networks; Evolutionary algorithms,5,2,1,1,Article,6,"a, d"
"Amjady N., Daraeepour A., Keynia F.",Day-ahead electricity price forecasting by modified relief algorithm and hybrid neural network,2010,118,"In a power market, the price of electricity is the most important signal to all market participants. However, electricity price forecast is a complex task due to non-linearity, non-stationarity and volatility of the price signal. In spite of all performed research on this area in the recent years, there is still an essential need for more accurate price forecast methods. Besides, there is a lack of robust feature selection technique for designing the input vector of electricity price forecast, which can consider the non-linearities of the price signal. In this study, a new price forecast method is proposed, which is composed of a modified version of Relief algorithm for feature selection and a hybrid neural network for prediction. The proposed approach is examined on Ontario, New England and Italian electricity markets and compared with some of the most recently published price forecast methods. © 2010 © The Institution of Engineering and Technology.",,Complex task; Electricity market; Electricity price forecasting; Electricity prices; Feature selection; Hybrid neural networks; Input vector; Market participants; New England; Non-Linearity; Non-stationarities; Nonlinearities; Ontario; Power markets; Price forecasts; Price signals; Relief algorithm; Robust feature selection; Commerce; Costs; Feature extraction; Neural networks; Electric load forecasting,5,1,1,1,Article,6,"a, d"
"Mandal P., Srivastava A.K., Senjyu T., Negnevitsky M.",A new recursive neural network algorithm to forecast electricity price for PJM day-ahead market,2010,14,"This paper evaluates the usefulness of publicly available electricity market information in predicting the hourly prices in the PJM day-ahead electricity market using recursive neural network (RNN) technique, which is based on similar days (SD) approach. RNN is a multi-step approach based on one output node, which uses the previous prediction as input for the subsequent forecasts. Comparison of forecasting performance of the proposed RNN model is done with respect to SD method and other literatures. To evaluate the accuracy of the proposed RNN approach in forecasting short-term electricity prices, different criteria are used. Mean absolute percentage error, mean absolute error and forecast mean square error (FMSE) of reasonably small values were obtained for the PJM data, which has correlation coefficient of determination (R2) of 0.7758 between load and electricity price. Error variance, one of the important performance criteria, is also calculated in order to measure robustness of the proposed RNN model. The numerical results obtained through the simulation to forecast next 24 and 72 h electricity prices show that the forecasts generated by the proposed RNN model are significantly accurate and efficient, which confirm that the proposed algorithm performs well for shortterm price forecasting. Copyright © 2009 John Wiley &amp; Sons, Ltd.",Day-ahead electricity market; Electricity price forecasting; Locational marginal prices (LMPs); Recursive neural network (RNN); Similar days (SD),Day-ahead electricity market; Electricity price forecasting; Locational marginal prices; Recursive neural networks; Similar day; Algorithms; Commerce; Computer simulation; Costs; Electric industry; Electricity; Neural networks; Numerical analysis; Electric load forecasting,5,1,1,1,Article,2,
"Vahidinasab V., Jadid S.",Bayesian neural network model to predict day-ahead electricity prices,2010,15,"Market participants in the new competitive electricity markets find price forecasting so valuable in developing their bidding strategies. In this paper, the Bayesian neural network (BNN) approach is proposed for day-ahead prediction of locational marginal prices (LMPs) in the pool based energy markets, in which to select the optimum inputs of the BNN, the correlation coefficient technique is used. LMP has a volatile and time dependent behavior. Hence, prediction of such a complex signal is a challenging task requiring a qualified forecasting tool, which not only fits well to the training data, but also can predict the stochastic behavior of unseen part of the signal. The proposed Bayesian approach to predict day-ahead electricity prices presents noteworthy advantages over the classical neural networks (NN) methods which include the avoidance of network overfitting, an indication of the degree of uncertainty in the predictions, automatic selection of an appropriate scale for network weights and, accordingly, selection of the optimal forecasting model. Examining the proposed forecast strategy on the different periods of the Pennsylvania- New Jersey-Maryland (PJM) market, it is demonstrated that the proposed method can provide more accurate results than the other price forecasting techniques, such as, ARIMA time series, wavelet-ARIMA, classical NN, and also a similar day method. Copyright © 2008 John Wiley & Sons, Ltd.",Bayesian neural network; Bidding strategy; Electricity; Price forecasting; Sensitivity analysis,Automatic selection; Bayesian approaches; Bayesian neural network models; Bayesian neural networks; Bidding strategy; Classical neural networks; Competitive electricity markets; Complex signal; Correlation coefficient; Degree of uncertainty; Electricity price forecasting; Electricity prices; Energy markets; Forecasting models; Forecasting tools; Locational marginal prices; Market participants; Maryland; Network weights; New Jersey; Optimum input; Overfitting; Pennsylvania; Price forecasting; Similar day; Stochastic behavior; Time dependent behavior; Training data; Bayesian networks; Commerce; Costs; Electric load forecasting; Scales (weighing instruments); Sensitivity analysis; Technological forecasting; Time series; Neural networks,5,1,1,1,Article,1,a
"Lin W.-M., Gow H.-J., Tsai M.-T.",An enhanced radial basis function network for short-term electricity price forecasting,2010,52,"This paper proposed a price forecasting system for electric market participants to reduce the risk of price volatility. Combining the Radial Basis Function Network (RBFN) and Orthogonal Experimental Design (OED), an Enhanced Radial Basis Function Network (ERBFN) has been proposed for the solving process. The Locational Marginal Price (LMP), system load, transmission flow and temperature of the PJM system were collected and the data clusters were embedded in the Excel Database according to the year, season, workday and weekend. With the OED applied to learning rates in the ERBFN, the forecasting error can be reduced during the training process to improve both accuracy and reliability. This would mean that even the ""spikes"" could be tracked closely. The Back-propagation Neural Network (BPN), Probability Neural Network (PNN), other algorithms, and the proposed ERBFN were all developed and compared to check the performance. Simulation results demonstrated the effectiveness of the proposed ERBFN to provide quality information in a price volatile environment. © 2010 Elsevier Ltd. All rights reserved.",Electricity price forecasting; Factor analysis; Locational Marginal Price (LMP); Orthogonal Experimental Design (OED); Radial Basis Function Network; Stochastic Gradient Approach (SGA),Backpropagation; Backpropagation algorithms; Costs; Factor analysis; Forecasting; Functions; Neural networks; Orthogonal functions; Radial basis function networks; Statistics; Stochastic systems; Back-propagation neural networks; Electricity price forecasting; Locational marginal prices; Orthogonal experimental design; Probability neural network; Radial basis function Networks (RBFN); Stochastic gradient; Volatile environments; Power markets; back propagation; electrical power; experimental design; factor analysis; price determination; probability; stochasticity,5,1,1,1,Article,1,c
"Saini L.M., Aggarwal S.K., Kumar A.",Parameter optimisation using genetic algorithm for support vector machine-based price-forecasting model in National electricity market,2010,74,"The parameter selection is very important for successful modelling of input-output relationship in a function approximation model. In this study, support vector machine (SVM) has been used as a function approximation tool for a price series and genetic algorithm (GA) has been utilised for optimisation of the parameters of the SVM model. Instead of using single time series, separate time series for each trading interval has been employed to model each day's price profile, and SVM parameters of these separate series have been optimised using GA. The developed model has been applied to two large power systems from National electricity market (NEM) of Australia. The forecasting performance of the proposed model has been compared with a heuristic technique, a linear regression model and the other reported works in the literature. Effect of price volatility on the performance of the models has also been analysed. Testing results show that the proposed GA-SVM model has better forecasting ability than the other forecasting techniques. © 2009 © The Institution of Engineering and Technology.",,Australia; Developed model; Forecasting ability; Forecasting models; Forecasting performance; Forecasting techniques; Function approximation; Heuristic techniques; Input-output; Large power systems; Linear regression models; National electricity markets; Optimisations; Parameter optimisation; Parameter selection; Price volatility; Single time series; SVM model; Testing results; Ability testing; Approximation algorithms; Commerce; Costs; Electric industry; Genetic algorithms; Heuristic methods; Linear regression; Optimization; Parameter estimation; Support vector machines; Technological forecasting; Time series; Electric load forecasting,5,1,1,1,Article,4,
"Toyama H., Senjyu T., Areekul P., Chakraborty S., Yona A., Funabashi T.",Next-day electricity price forecasting on deregulated power market,2009,5,"This paper proposes the approach to reduce the prediction error at occurrence time of peak electricity price, and aims to enhance the accuracy of next day electricity price forecasting. In the proposed method, the weekly variation data is used for input factors of the NN at occurrence time of peak electricity price in order to catch the price variation. Moreover, learning data for the neural network (NN) is selected by rough sets theory at occurrence time of peak electricity price. This method is examined by using the data of PJM electricity market.",Electricity price forecasting; Neural network; Pjm electricity market; Rough set theory; Weekly variation data,Deregulated power markets; Electricity market; Electricity price forecasting; Input factors; Learning data; Peak electricity; Pjm electricity market; Prediction errors; Price variation; Rough Sets Theory; Commerce; Costs; Deregulation; Electric load forecasting; Electricity; Neural networks; Rough set theory,5,1,1,1,Conference,1,a
"Chogumaira E.N., Hiyama T.",Training artificial neural networks for short-term electricity price forecasting,2009,3,"This paper present a comparative study of training approaches for artificial neural network (ANN) used in forecasting short-term wholesale electricity prices. High probability of volatility in wholesale electricity prices and trends that are generally non-uniform create challenges when forecasting future prices using simple backpropagation feedforward ANN. A number of ANN architectures and training methods have been proposed for a variety of applications, and here we consider three approaches with actual electricity price data. The architectures considered in this study are: the well known feedforward and Elman networks trained with backpropagation, which are compared to feedforward network trained with genetic algorithm. Avoidance of local minima and minimization of computational cost are key performance indicators in ANN training. Number of training iterations needed to achieve target error and the generalization ability are used to compare the methods. This investigation is meant to guide in selecting ANN training method for electricity price forecasting.",Artificial neural networks; Day-ahead market; Electricity markets; Location based marginal prices,Artificial Neural Network; Day ahead market; Electricity market; Location based; Marginal prices; Backpropagation; Benchmarking; Commerce; Costs; Electric load forecasting; Electricity; Neural networks,5,1,1,1,Conference,1,a
"Negnevitsky M., Mandal P., Srivastava A.K.","Machine learning applications for load, price and wind power prediction in power systems",2009,36,"This paper reviews main forecasting techniques used for power system applications. Available forecasting techniques have been discussed with focus on electricity load and price forecasting as well as wind power prediction. Forecasting problems have been classified based on time frame, application specific area and forecasting techniques. Appropriate examples based on data pertaining to the Victorian electricity market, Australia and the PJM electricity market, U.S.A. are used to demonstrate the functioning of the developed neural network (NN) method based on similar days approach to predict hourly electricity load and price, respectively. The other important problem faced by power system utilities are the variability and non-schedulable nature of wind farm power generation. These inherent characteristics of wind power have both technical and commercial implications for efficient planning and operation of power systems. To address the wind power issues, this paper presents the application of an Adaptive Neural Fuzzy Inference System (ANFIS) to very short-term wind forecasting utilizing a case study from Tasmania, Australia. © 2009 IEEE.",Adaptive neuro-fuzzy inference system (ANFIS); Neural network (NN); Short-term load forecasting; Shortterm price forecasting; Very short-term wind power prediction,"Adaptive neural fuzzy inference systems; Adaptive neuro-fuzzy inference system; Application specific; Australia; Efficient planning; Electricity load; Electricity market; Forecasting problems; Forecasting techniques; Machine learning applications; ON time; Operation of power system; Power system applications; Power systems; Price forecasting; Short term load forecasting; Short-term price forecasting; Similar days approach; Tasmania , Australia; Wind farm; Costs; Electric power generation; Electric power systems; Electric utilities; Fuzzy inference; Fuzzy systems; Intelligent systems; Neural networks; Technological forecasting; Weather forecasting; Wind power; Electric load forecasting",5,1,1,1,Conference,3,
"Tang Q., Gu D.",Day-ahead electricity prices forecasting using artificial neural networks,2009,8,"This paper presents specifically how artificial neural network (ANN) is applied to forecast day-ahead electricity price in the deregulated electricity market. Market clearing price (MCP) forecasting has been more and more significant in new restructured market because both generating companies and consumers rely on it to prepare their bidding strategies and expect to maximize respective benefits with low risks. But the prediction of MCP is complex because various uncertainties interact in an intricate way. Hence, ANN is proposed to solve high complicated nonlinear problems like MCP forecasting due to its powerful capability of learning mechanism if enough data for training. The paper focuses on influences brought by different input architectures with different training methods and proposes a basic optimal ANN architecture for day-ahead MCP forecasting. © 2009 IEEE.",Artificial neural network; Forecasting; Market clearing price,Artificial neural network; Bidding strategy; Deregulated electricity market; Electricity prices; Electricity prices forecasting; Generating companies; Learning mechanism; Market Clearing Price; Market clearing prices; Nonlinear problems; Training methods; Commerce; Costs; Deregulation; Electric load forecasting; Image storage tubes; Linearization; Neural networks,5,1,1,1,Conference,1,a
"Filho J.C.R., Affonso C.M., Oliveira R.C.L.",Pricing analysis in the Brazilian energy market: A decision tree approach,2009,10,"There is a general consensus that electricity price forecasting is an important task nowadays since power market players are interested in the maximization of profit and the minimization of risk. In this context, this paper proposes the use of Data-Mining techniques to predict the short-term electricity price in the Brazilian market. In Brazil, the market model adopted has unique characteristics with a centralized form of dispatch due to the predominance of hydro generation. To apply the proposed prediction model, all features of the Brazilian electricity market are considered, such as the transmission restrictions among geo-electrical regions and the price dependency with storage energy in reservoirs. In the proposed prediction model, the electricity price is the dependent variable and the monthly time series data sets from the Brazilian system (such as power load, stored energy and thermal generation) are the independent variables. First, clustering of the data samples is performed to group similar behavior of the attributes. After that, a decision tree algorithm is applied to extract if-then rules from database. The rules obtained allow the identification of attributes that most influence the short-term electricity price. Results show that the proposed model can be an attractive tool to all electricity market players to forecast the short-term electricity price and mitigate the risks in purchasing power. © 2009 IEEE.",Clustering; Data-mining; Decision trees; Short-term electricity price forecasting,Brazilian electricity markets; Brazilian system; Clustering; Clustering data; Data sample; Decision-tree algorithm; Dependent variables; Electricity market; Electricity price forecasting; Electricity prices; Energy markets; Hydro generation; If-then rules; Independent variables; Market model; Power load; Power markets; Prediction model; Purchasing power; Storage energy; Stored energy; Thermal generation; Time-series data; Cluster analysis; Commerce; Costs; Decision trees; Electric load forecasting; Electricity; Mathematical models; Profitability; Time series; Electric generators,5,1,1,1,Conference,7,
"Amjady N., Keynia F.",Day-ahead price forecasting of electricity markets by a new feature selection algorithm and cascaded neural network technique,2009,43,"With the introduction of restructuring into the electric power industry, the price of electricity has become the focus of all activities in the power market. Electricity price forecast is key information for electricity market managers and participants. However, electricity price is a complex signal due to its non-linear, non-stationary, and time variant behavior. In spite of performed research in this area, more accurate and robust price forecast methods are still required. In this paper, a new forecast strategy is proposed for day-ahead price forecasting of electricity markets. Our forecast strategy is composed of a new two stage feature selection technique and cascaded neural networks. The proposed feature selection technique comprises modified Relief algorithm for the first stage and correlation analysis for the second stage. The modified Relief algorithm selects candidate inputs with maximum relevancy with the target variable. Then among the selected candidates, the correlation analysis eliminates redundant inputs. Selected features by the two stage feature selection technique are used for the forecast engine, which is composed of 24 consecutive forecasters. Each of these 24 forecasters is a neural network allocated to predict the price of 1 h of the next day. The whole proposed forecast strategy is examined on the Spanish and Australia's National Electricity Markets Management Company (NEMMCO) and compared with some of the most recent price forecast methods. © 2009 Elsevier Ltd. All rights reserved.",Cascaded neural networks; Electricity price forecasting; Two stage feature selection,Australia; Cascaded neural networks; Complex signal; Correlation analysis; Day-ahead prices; Electric power industries; Electricity market; Electricity price forecasting; Electricity prices; Feature selection; Feature selection algorithm; National electricity markets; Neural network techniques; Non-linear; Nonstationary; Power markets; Price forecasts; Relief algorithm; Time variant; Two stage; Two stage feature selection; Commerce; Costs; Electricity; Neural networks; Electric load forecasting,5,1,1,1,Article,1,a
"Amjady N., Daraeepour A.",Design of input vector for day-ahead price forecasting of electricity markets,2009,52,"In new deregulated electricity market, price forecasts have become a fundamental input to an energy company's decision making and strategy development process. However, the exclusive characteristics of electricity price such as non-stationarity, non-linearity and time-varying volatile structure present a number of challenges for this task. In spite of all performed research on this area in the recent years, there is still essential need for more accurate and robust price forecast methods. Besides, there is a lack of efficient feature selection technique for designing the input vector of electricity price forecast. In this paper, a new two-stage feature selection algorithm composed of modified relief and mutual information (MI) techniques is proposed for this purpose. Moreover, cascaded neural network (CNN) is presented as forecast engine for electricity price prediction. The CNN is composed of cascaded forecasters where each forecaster is a neural network (NN). The proposed feature selection algorithm selects the best set of candidate inputs which is used by the CNN. The proposed method is examined on PJM, Spanish and Ontario electricity markets and compared with some of the most recent price forecast techniques. © 2009 Elsevier Ltd. All rights reserved.",Cascaded neural network; Feature selection; Forecast engine; Modified relief; Mutual information,Cascaded neural network; Feature selection; Forecast engine; Modified relief; Mutual information; Commerce; Costs; Deregulation; Electricity; Feature extraction; Neural networks; Strategic planning; Electric load forecasting,5,1,1,1,Article,1,a
