Authors,Title,Year,Cited by,Abstract,Author Keywords,Index Keywords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abhinav R., Pindoriya N.M.",Electricity Price Forecast for Optimal Energy Management for Wind Power Producers: A Case Study in Indian Power Market,2018,,"Wind power producers (WPPs) in India integrated with the battery energy storage system (BESS) can be benefitted with additional revenue by participating in the short-term electricity market. Electricity price forecasting is key for devising optimal bidding strategies for WPPs as well as for efficient energy management of BESS. This paper discusses the opportunities for WPPs if they participate in wind energy trading. To understand the case, a wavelet-based neural network (WNN) has been employed for day-ahead electricity price forecasting in Indian power market. The real data from Indian Electricity Exchange (IEX) is used to evaluate the performance of the forecast model. The predicted price information would help in deviation settlement for WPP by optimal scheduling the BESS and in mitigating the voltage and frequency incursions. Further, it would bring more economic values to WPPs as well as grid operator for improving the grid reliability. © 2018 IEEE.",Battery Energy Storage System; Electricity price forecasting; Energy management; Wavelet-based neural network; Wind power producer,Battery storage; Commerce; Digital storage; Electric power transmission networks; Energy management; Grid computing; Smart power grids; Weather forecasting; Wind power; Battery energy storage system (BESS); Battery energy storage systems; Electricity exchanges; Electricity price forecasting; Electricity prices; Optimal bidding strategy; Power producer; Wavelet-based neural network; Power markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Than M.M., Thein T.",Electricity Price Prediction for Geographically Distributed Data Centers in Multi-Region Electricity Markets,2018,,"Geographically distributed data centens (GDCs) serving as infrastructures for cloud services, are growing in both number and scale. They usually consume enormous amount of electric power, which lead to high operational costs and this has been recognized as a main challenge in cloud computing. Energy cost can be reduced by directing the requests to the favor of data center with lower electricity price by incorporating spatially and temporally price diversity, especially in the multi-region electricity markets. If the electricity prices of data centers are predicted in advance, the cloud provider can reduce energy cost. An efficient electricity price prediction is needed for minimizing electricity bill of GDCs. This paper proposes electricity price prediction for GDCs in multi-region electricity markets. Experiment is conducted on real-life electricity price data sets with machine learning algorithms. By comparatively assessing the prediction accuracy of the models, the most accurate one is selected. Experiment results show that the prediction model can provide promising accuracy. © 2018 IEEE.",electricity price prediction; geographically distributed data centers; machine learning; multi-region electricity markets,Artificial intelligence; Commerce; Cost reduction; Forecasting; Learning algorithms; Learning systems; Cloud providers; Cloud services; Distributed data; Electric power; Electricity bill; Electricity prices; Prediction accuracy; Prediction model; Power markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lu J., Liu B.-X., Wang Y.-B., Cheng C.-T., Fu-Chen",Research on Optimal Dispatching of Cascade Reservoirs Based on Electricity Price Prediction under the Environment of Electric Power Market,2018,,"With the overall promotion of the new round of power system reform in China, constructions of electricity markets in most provinces are becoming more mature, attracting more power generation groups to participate in the electricity market. In electricity market, current scheduling methods of cascade reservoirs for power generation groups is not adapted to the newly established competitive environment. To address the profit maximization problem for power generation groups in day-ahead market, this paper proposes a medium- and long-term optimal scheduling model for cascade reservoirs, taking complex hydraulic and electric couplings into consideration. The day-ahead market transaction price of cascade reservoirs is forecasted through electricity price prediction method based on support vector machine algorithm. The adaptive hybrid particle swarm optimization algorithm is used to solve the proposed model. The simulated results of the case study based on cascade reservoirs in Lancang River show that the method proposed in this paper is reliable and reasonable. It provides a theoretical basis for power generation groups to optimize the dispatching of cascade reservoirs in day-ahead electricity market. © 2018 American Society of Civil Engineers.",Day-ahead market; Electricity price forecast; Optimal operation,Commerce; Costs; Drainage; Electric industry; Electric load dispatching; Environmental management; Forecasting; Hydraulic machinery; Irrigation; Particle swarm optimization (PSO); Reservoirs (water); Scheduling; Soil conservation; Water conservation; Water distribution systems; Water management; Water resources exploration; Watersheds; Competitive environment; Day ahead market; Day-ahead electricity market; Electric power markets; Electricity prices; Hybrid particle swarm optimization algorithm; Optimal operation; Support vector machine algorithm; Power markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samant D., Jayadev P.S., Chinde V., Pasumarthy R.",Production scheduling with differential pricing for prioritized microgrids,2017,,"This paper explores the effectiveness of an energy market, modelling the interaction between a centralized power grid and a prioritized set of prosumer microgrids. The focus is on a differential pricing system for the electricity market while accounting for the physical constraints of power generation. More specifically, the model aims to optimize the scheduling of centralized power generation through a mix of integer programming and Model Predictive Control (MPC) over a fixed horizon. © 2017 IEEE.",,Commerce; Integer programming; Model predictive control; Power markets; Predictive control systems; Production control; Scheduling; Differential pricing; Energy markets; Fixed horizons; Micro grid; Physical constraints; Power grids; Production Scheduling; Prosumer; Electric power transmission networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goncalves P.P., Saraiva J.T.",Evaluation of the impact of the feed-in generation in the prices of the Iberian Electricity Market in 2013,2016,,"Power industry has been deeply restructured in recent decades. Along this period vertically integrated structures evolved to more disaggregated models in which some activities are now provided under competition as generation and retailing while some others are provided under regulated monopolies as network transmission and distribution. Simultaneously, most countries started to encourage the use of renewable sources, namely to cope with environmental issues and to enlarge the energy independency. Having in mind these ideas and given the development of the Iberian Electricity Market and the increase of the installed capacity in units paid by feed-in tariffs, it becomes important to estimate the impact of this feed-in generation in the market prices. This paper describes the approach that was developed to estimate this impact and the implemented software application. This application was then used to evaluate the impact on prices on all trading hours of 2013 of the Portuguese photovoltaic generation, the Portuguese wind generation, all the Portuguese feed-in generation and also all the Iberian feed-in generation. © 2016 IEEE.",Electricity markets; feed-in generation; Iberian Electricity Market,Application programs; Costs; Electric industry; Power markets; Environmental issues; Iberian electricity market; Installed capacity; Integrated structure; Network transmission; Photovoltaic generation; Renewable sources; Software applications; Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ayvaz A., Ozgonenel O., Ayvaz B.B.",Analysis of electricity price in the Turkish domestic energy market,2016,,"Market participants across the variable electricity prices seek new ways to give an idea for operation planning in the future. Since the day-ahead market regulation met with Turkey's electricity market in 2011, electricity price forecasting has become a significant issue. Uncertainty in electricity prices caused investors to see pricing as a risk of economic loss. Therefore, the number of active participants in the market fell to about 60%. This paper aims to fit electricity price behavior to a statistical distribution in order to help market participants. We used a couple of statistical distribution functions in this study to determine electricity price behavior. The historical electricity price data were obtained from the website of PMUM, which consisted of hourly prices. Analyses were carried out for different intraday demand levels in different periods. The results indicated that the electricity price behavior best fits the GEV distribution in long-term analysis. © 2015 Chamber of Electrical Engineers of Turkey.",,Commerce; Costs; Distribution functions; Economics; Investments; Losses; Electricity price forecasting; Electricity prices; GEV distributions; Long term analysis; Market participants; Operation planning; Statistical distribution; Statistical distribution function; Power markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonçalves P., Saraiva J.T.",Impact of the feed-in generation in the prices of the Iberian electricity market in 2013,2016,,"Power industry has been deeply restructured in recent decades. Along this period vertically integrated structures evolved to more disaggregated models in which some activities are now provided under competition as generation and retailing while some others are provided under regulated monopolies as network transmission and distribution. Simultaneously, most countries started to encourage the use of renewable sources, namely to cope with environmental issues and to enlarge the energy independency. Having in mind these ideas and given the development of the Iberian Electricity Market and the increase of the installed capacity in units paid by feed-in tariffs, it becomes important to estimate the impact of this feed-in generation in the market prices. This paper describes the approach that was developed to estimate this impact and the implemented software application. This application was then used to evaluate the impact on prices on all trading hours of 2013 of the Portuguese photovoltaic generation, the Portuguese wind generation, all the Portuguese feed-in generation and also all the Iberian feed-in generation.",Electricity markets; Feed-in generation; Iberian electricity market; Prices,Application programs; Commerce; Costs; Electric industry; Energy conversion; Environmental issues; Iberian electricity market; Installed capacity; Integrated structure; Network transmission; Photovoltaic generation; Prices; Software applications; Power markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pezic M., Lorente I.P., De Juan M.Q.",Probabilistic unit commitment and electricity prices forecasting for market strategy in interconnected systems,2016,,"In this paper we present a solution for building a better strategy to take part in external electricity markets and considering the uncertainty in the future electricity prices. For an optimal strategy development, both the internal system costs and the future values of the series of electricity prices in external markets need to be known. But in practice, the real problems that must be faced are that both future electricity prices and costs are unknown. Thus, the first ones must be modelled and forecasted and the costs must be calculated. Our methodology for building an optimal strategy consists of three steps: The first step is modelling and forecasting market prices in external systems. The second step is the cost calculation on internal system taking into account the expected prices in the first step. The third step is based on the results of the previous steps, and consists of preparing the bids for external markets with the focus on the consumer's cost. To take into account the uncertainty in daily prices we have performed a forecast model that shows this variability in terms of confidence intervals. Our Unit Commitment with probabilistic constraints will produce an optimal solution and handle risk issues.",Electricity prices forecasting; Market strategy; Probabilistic analysis; Unit commitment (UC),Commerce; Energy conversion; Forecasting; Optimal systems; Power markets; Confidence interval; Electricity prices forecasting; Market strategies; Modelling and forecasting; Optimal strategies; Probabilistic analysis; Probabilistic constraints; Unit Commitment; Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adebayo A.I., Zamani-Dehkordi P., Zareipour H., Knight A.M.",Economic viability of price arbitrage operation of Vanadium Redox Battey in Alberta's energy market,2016,,"With the rising need for energy storage facilities in power systems of various jurisdictions, it is imperative to investigate the profitability of operating energy storage facilities. This paper assesses the economic viability of a transmission-connected Vanadium Redox Battery (VRB). The system under consideration has a power rating that is large enough that the impacts of its operation on the pool price in the Alberta electricity market should be considered. Using 5 year historical price data, we run a self-scheduling mixed integer linear programming (MILP) optimization model to estimate the maximum possible operational profit operating in Alberta's ""Energy Only"" market. The rate of return on the investment considering 2011 capital cost estimate and forecasted 2020 cost estimate are calculated, based on the simulated cash flow. The predicted ROI is shown to vary significantly depending on the window chosen as ""typical"" cash flow.",Arbitrage; Batteries; Price-maker; Price-taker,Commerce; Cost benefit analysis; Digital storage; Earnings; Electric energy storage; Integer programming; Investments; Power markets; Profitability; Solar cells; Vanadium; Arbitrage; Economic viability; Mixed-integer linear programming; Optimization modeling; Price takers; Price-maker; Storage facilities; Vanadium redox batteries; Cost estimating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Domaschk D., Popescu F.",Constrained production schedule optimization of output-normalized expenditures under uncertainty in shift duration and energy price forecasts,2015,,"Variability in day-ahead energy prices offers the potential for reductions in energy expenditures through flexible load planning in which production is shifted to periods of low predicted energy prices. In this paper we present a means of optimizing a production run for the following day and week given basic constraints on the start and end times of production shifts as well as the total production within a specified time frame (planning horizon). The general problem is a difficult, non-convex optimization problem over stochastic variables that can only be solved in its original form by global optimization and Monte Carlo simulation techniques. However, reasonable approximations to the original problems render it more tractable. By linearizing the energy price forecasts and the plant consumption profile, as well as discretizing the stochastic variables involved, we can reduce the planning problem to a mixed integer quadratic programming (MIQP) problem, with the customary linear bounds.",Day-ahead energy price forecasting; Industrial load scheduling; Variable energy pricing,Constrained optimization; Convex optimization; Costs; Forecasting; Global optimization; Integer programming; Intelligent systems; Monte Carlo methods; Optimization; Production control; Quadratic programming; Stochastic systems; Energy prices; Energy pricing; Industrial loads; Mixed integer quadratic programming; Monte carlo simulation technique; Nonconvex optimization; Production schedule; Stochastic variable; Power markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rajaraman B., Vesovic B.",Convergence of prices and efficiency of day-ahead markets,2014,,"The constantly changing grid operating conditions, the need to maintain a balance between demand and supply of electricity in real time, and the evolution of an electricity market in certain electric interconnections of the world, are some of the characteristics of today's electric power systems. The interlaced design of a power system and electricity market operations are closely linked with the system reliability and electricity market efficiency. Accurate convergence of prices between the day-ahead electricity markets (DAM) and the associated real time energy markets (RTM) is a good indicator of a well functioning electricity market. Consistency between DAM and RTM prices is beneficial for market efficiency because it helps ensure that the resources committed each day are the most economic and efficient ones to meet the system demand in real time, thereby preserving system reliability and security. The divergence of RTM electricity prices from DAM electricity prices imposes unnecessary additional inefficiencies and costs on the system, thereby potentially threatening system reliability. Virtual bidding in the day-ahead market provides a useful function in facilitating price convergence between the day ahead and real time markets. The arbitrage possibilities enabled by virtual bidding are also useful mechanisms for improving efficiency in the electricity markets. By adding liquidity to the market, virtual bidding significantly helps in reducing market risk for participants and considerably reduces price volatility as well. Network congestion, which is also seen as a key reason for price spikes and consequently price divergence in electricity markets can be managed efficiently and effectively by implementing a full network model. A detailed and accurate representation of the power system, which aids in the determination and mitigation of transmission constraints, will lead to consistency of congestion patterns between DAM and RTM, thereby contributing to improved convergence of electricity prices in market operations. The insufficient ramping capability in any system may trigger power balance violations resulting in an infeasible real time dispatch that cannot maintain supply and demand power balance. In such scenarios, the system has to rely on regulation services to resolve the issue in real-time after the imbalance has caused area control error (ACE) deviation. If there is insufficient regulation service, the shortage in ramping capability may result in leaning on the interconnection, which is an undesirable outcome. Moreover, when power balance is violated, the RTM energy price is not priced by economic bids, but by administrative penalty prices, which may impact market efficiency in the long run. These price spikes generally may be avoided by further modelling and dispatch improvements that increase the accuracy and flexibility of real-time dispatches. Market design improvements such as implementation of flexible ramp system constraints, that ensure additional unloaded online capacity that is available and ramp feasible, and can be dispatched at any time interval in either upward or downward direction by designating a system ramp margin, must be made available. This paper discusses several aspects needed for improved price convergence and thereby increased efficiency in electricity markets, such as virtual bidding, flexible ramping constraints, implementing a full network model for alleviating network congestion, advanced forecasting systems and demand response. The paper also provides illustrations and examples to demonstrate the impact of price convergence on market efficiency. © 2014 CIGRE. All rights reserved.",Convergence; Demand response; Efficiency; Markets; Network Congestion; Prices; Virtual bidding,Commerce; Costs; Dams; Efficiency; Electric industry; Electric power systems; Electric power transmission; Marketing; Power quality; Real time systems; Reliability; Traffic congestion; Convergence; Demand response; Network congestions; Prices; Virtual bidding; Power markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arunachalam V., Cancino R.",Modeling electricity spot price dynamics by using lévy-type cox processes: An application to colombian market,2014,,"In this chapter, we propose the dynamic behavior of the Colombian electricity spot prices by using a Lévy-type Cox process. The mean-reverting process is frequently applied to electricity markets, due to certain characteristics of the electricity such as spikes which are intrinsic to electricity prices. Modeling spikes for a particular electricity market is a great challenge. We propose a two factor model for the Colombian spot price dynamics, where one factor is driven by a Ornstein Uhlenbeck process based on Brownian motion, which deals with normal variation, while other factor is driven by a Lévy-type Cox process and specifies price spikes. We discuss the methodology of calibration and estimation of parameters of electricity spot prices for the Colombian Markets. © Springer International Publishing Switzerland 2015.",Colombian market; Cox process; Electricity spot prices; Spikes,Brownian movement; Commerce; Costs; Colombians; Cox process; Electricity prices; Electricity spot price; Estimation of parameters; Normal variations; Ornstein-Uhlenbeck process; Spikes; Power markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aihara S.I., Bagchi A.",Adaptive filtering in electricity spot price models,2014,,"We study the adaptive filtering for risk premium and system parameters in electricity futures modes. Introducing the jump augmented Vasicek model as the spot price mode, the factor model of the electricity futures is constructed as the stochastic hyperbolic systems with jumps. Representing the main spike phenomena of the electricity spot price from one observed futures data by proxy, the filtering of the stochastic risk premium and its system parameters are developed in a Gaussian framework. By using the parallel filtering algorithm, the online system parameter estimation procedure is proposed.",Electricity spot; Hyperbolic system; Jump process; Kalman filter; Parallel filter; Parameter identification; Risk premium,Adaptive filtering; Identification (control systems); Kalman filters; Markov processes; Parameter estimation; Power markets; Robotics; Stochastic models; Stochastic systems; Electricity futures; Electricity spot price; Filtering algorithm; Hyperbolic system; Jump process; Parallel filter; Risk premium; Vasicek models; Adaptive filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhou D., Bradley D.R.",Solar renewable energy credits (SRECs) price forecast - A linear optimization approach,2012,,"In the current State-specific renewable energy market, four basic drivers determine solar renewable energy credits (SRECs) prices - SRECs supply, SRECs demand, cost of energy and state compliance policies. Most of this information can be found on ISO and state commission websites, which provides an adequate view of the current state of the SRECs market. However, to fully understand the SRECs markets and forecast the SRECs price, a better understanding of the relationships among supply, demand, cost and policies is required. This paper studies the relationships among all the drivers to the SRECs price and predicts the SRECs prices using linear optimization method to minimize the energy cost considering the balance between supply and demand as well as the constraints from compliance policies. This method can be applied for multi-state SREC markets, such as PJM SREC market. We provided preliminary results of the SRECs price forecast in PJM to demonstrate the ability of this method. Application of this method may provide pricing guideline for solar market investors and participants. Copyright © (2012) by American Solar Energy Society.",Linear optimization; Minimum cost flow; Optimal power flow; Price forecast; SRECs price,Linear optimization; Minimum cost flows; Optimal power flows; Price forecasts; SRECs price; Commerce; Cost accounting; Economics; Energy policy; Forecasting; Optimization; Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luoma J., Mathiesen P., Kleissl J.",Determination of forecast value considering energy pricing in California,2012,,"Forecast value is investigated using day-ahead market (DAM) and real-time market (RTM) locational marginal prices (LMP) from the California Independent Service Operator (CAISO) Open Access Same-time Information System (OASIS) database. Assuming a 1 MW PV plant is collocated at California Irrigation Management Information System (CIMIS) stations throughout California, revenue is calculated using global horizontal irradiance (GHI) forecasts from the North American Mesoscale Model (NAM) and recorded GHI from the CIMIS stations. Comparison of the true forecast revenue to a prefect forecast revenue shows that the prefect forecast revenue is always greater, but the yearly true forecast revenue is within 5% of the perfect forecast revenue for some sites. Revenue from a bias-corrected NAM forecast is used to show that biased forecasts can have a higher forecast value than neutral forecasts, which causes a disconnect between what makes a valuable forecast for a power seller versus a system operator.",,California; California irrigation management information systems; Day ahead market; Energy pricing; Locational marginal prices; Mesoscale model; North American; Open access same-time information systems; PV plants; Real-time market; System operator; Commerce; Economics; Knowledge management; Forecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anbazhagan S., Kumarappan N.",Classification of day-ahead prices in Asia's first liberalized electricity market using GRNN,2012,,"In electricity market the price sequence fluctuates frequently, periodically and stochastically, consequently price spikes often appear and it impacts the accuracy of price forecasting. The electricity price classification method is as an alternative to numerical electricity price forecasting due to high forecasting errors in various approaches. This paper proposes a day-ahead electricity price classification that could be realized using generalized regression neural networks (GRNN). These electricity price classifications are important because all market participants do not know the exact value of future prices in their decision making process. In this paper, classification of electricity market prices with respect to pre specified electricity price threshold are used. The simulation results show that the proposed method provides a better and efficient method for day-ahead deregulated electricity market of national electricity market of Singapore (NEMS), i.e. Asia's first liberalized electricity market.",Electricity price classification; Generalized regression neural network (GRNN); National electricity market of Singapore (NEMS); Price forecasting; Uniform Singapore energy price (USEP),Electricity prices; Generalized Regression Neural Network(GRNN); National electricity market of singapore (NEMS); Price forecasting; Uniform singapore energy prices (USEP); Electric industry; Electric load forecasting; Electricity; Energy conservation; Intelligent systems; Neural networks; Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aigner T., Schaber K., Hamacher T., Gjengedal T.",Integrating wind - Influence of transmission grid extension on European electricity market prices,2012,,"The increasing share of wind power production in the electrical system is a challenge for TSOs, power producers and electricity markets. Grid reinforcements and extensions will be necessary for a secure integration of renewable energy sources into the electrical system. Based on a combination of three highly sophisticated models the effects of wind power production and grid expansion on the European electricity market prices are evaluated. Using a high resolution numerical weather prediction model the actual wind power production is simulated for three scenarios covering the years 2010, 2020 and 2030. These scenarios are taken as an input to a regional power system model computing a cost optimal macroscopic grid expansion. In a last step the European market prices are simulated using the power system simulation tool PSST. The influence on market prices and load flows, before and after the evaluated grid expansion scenarios, are analyzed as well as the costs and benefits of the proposed grid extensions. The results for both future scenarios in 2020 and 2030, display that the proposed grid expansion is amortized in around 6 years. In addition to that important social-economic benefits arise due to lower average electricity prices. © 2012 IEEE.",Electricity Markets; Grid Extension; System Integration; Wind Power,Costs and benefits; Electrical systems; Electricity market; Electricity prices; European markets; Grid expansions; Grid extension; Grid reinforcement; High resolution numerical weather predictions; Integration of renewable energies; Load flow; Lower average; Market price; Power producer; Power system simulations; Regional power systems; Social-economic; System integration; Transmission grids; Wind power production; Commerce; Costs; Electric industry; Electric power generation; Expansion; Smart power grids; Wind power; Electric power transmission networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhao Y.-Q., Wang R.-Q.",Analysis of electricity prices volatility based on multicycle GARCH-M model,2012,,"The volatility of electricity price is the important information for the risk management of power markets and the pricing of power financial derivatives. A GARCH-M model in which the multi-cycle properties of electricity price series are described by dummy variable and sine function is proposed. The model is easy to select the order, and holds parsimonious scale of estimated parameters and high practical application value. The numerical example based on the historical data of the PJM market shows that the hetero-scedasticity and the load squares have a significant effect on the mean electricity price, and there exists volatility clustering. © 2012 IEEE.",electricity price; GARCH-M model; multi-cycle; volatility clustering,Electricity prices; Estimated parameter; Financial derivatives; Historical data; Multi-cycle; Numerical example; Power markets; Sine functions; Volatility clustering; Commerce; Costs; Electricity; Electronics engineering; Risk management; Electric properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li H.,Scheduling of wireless metering for power market pricing in smart grid,2012,,"Remote metering is a key task in smart grid to collect the power load information for the pricing in power market. A wireless communication infrastructure is assumed for the smart meter network. The dynamics of the power market are assumed to be a Markov Decision Process (MDP) by modeling the power load evolution as a two-state Markov chain. The fundamental elements of the MDP are discussed and the optimal strategy is obtained from Dynamic Programming. Due to the curse of dimensions, the myopic strategy is proposed to significantly simplify the algorithm. The validity of the proposed scheduling algorithm is demonstrated using numerical simulations. For example, for price insensitive power users, the average price and power generation errors are reduced by 60% and 40% using the myopic approach, compared with the simple round robin schedule, in certain circumstances. © 2012 IEEE.",,Markov Decision Processes; Myopic strategies; Optimal strategies; Power load; Power markets; Power users; Round-robin schedule; Smart grid; Smart meters; Two-state Markov chains; Wireless communications; Commerce; Costs; Electric load forecasting; Markov processes; Wireless telecommunication systems; Smart power grids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warkad S.B., Khedkar M.K., Dhole G.M.",Day-ahead AC-DC OPF-based nodal price prediction by artificial neural network (ANN) in a restructured electricity market,2012,,"In the last few years, electricity markets have significantly restructured in both developed and developing countries. Accurate prediction of day-ahead electricity nodal price has now become an important activity to address the price volatility in the marketplace. This will facilitate the market participants to estimate the risk and have effective decision-making in formulating bidding strategy. In developing countries, transmission congestion and investment problems have reduced the consumer benefits. Recent trend is to incorporate high voltage direct current (HVDC) transmission in the AC transmission system to gain its techno-economical advantages. This study aims at 1 motivation and relevance of present study 2 presenting AC-DC OPF nodal pricing and formulating ANN-based peak day-ahead nodal price prediction using multilayer feed-forward neural network with a back-propagation algorithm 3 the numerical results of IEEE 30-bus system and a real electricity market of India to demonstrate the rationality and feasibility of the proposed methodology. Copyright © 2012 Inderscience Enterprises Ltd.",AC-DC OPF; AC-DC optimal power flow; ANN; Artificial neural network; Electricity market; Nodal price prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De Weerdt M., Ketter W., Collins J.",Pricing mechanism for real-time balancing in regional electricity markets,2011,,"In electricity markets, supply and demand have to be balanced perfectly in real time. A major task of the Independent Systems Operator (ISO)2 on the wholesale (transmission) level and of the Distribution Utility (DU) on the regional (distribution) level is to monitor the grid and to maintain balance while keeping voltage, frequency, and power factor within very tight bounds. This task gets more challenging as more renewable energy sources, such as solar and wind, are connected to the grid [2]. Many of these sources (e.g. wind) are only partially predictable. The grid balancing problem has been studied on various levels (wholesale vs. retail) and with different approaches [1]. We study the problem of how to determine the price that energy brokers (retailers) need to pay in case their profile of consumption and production of electricity is imbalanced in the current time slot.3 In a retail electricity market, brokers have the possibility to control some portion of customer production and consumption, such as by offering price concessions in exchange for the ability to remotely interrupt loads or sources for limited periods of time. Examples of such controllable loads are remotely controlled CHPs (Combined Heat and Power - gas turbines that supply both heat and power, and allow some control of production) and domestic water heaters that can be remotely turned off to temporarily reduce consumption. We present two different scenarios and the related market mechanisms to balance supply and demand: I) without controllable loads, and II) with controllable loads for the current time slot. Our main mechanisms for a regional real-time balancing market are efficient, and create an incentive to resolve imbalances in the day-ahead market. An advantage of our methods is that they are compatible with existing energy market structures (keeping the day-ahead market as a given), and therefore the required restructuring would be less disruptive than with other methods currently suggested.",,Balancing market; Balancing problems; Combined heat and power; Controllable loads; Customer production; Day ahead market; Distribution utilities; Domestic water heaters; Electricity market; Existing energies; Heat and power; Independent systems; Market mechanisms; Power factors; Price concessions; Pricing mechanism; Real time; Regional electricity markets; Renewable energy source; Retail electricity markets; Supply and demand; Tight bound; Time slots; Artificial intelligence; Commerce; Costs; Electric power factor; Electricity; Renewable energy resources; Sales; Water heaters; Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De M.,Pricing system security in deregulated market including voltage stability constraint,2011,,"This paper proposes a pricing system for power system security in deregulated market, which includes voltage stability constraint (VSC). The VSC is included in a multi-objective optimal power flow (OPF) that maximizes the social benefit. Ancillary service (reactive power) and system congestion has been considered in the pricing. Effect ofN-1 contingency on pricing is also analyzed. Pricing is decided one day ahead using forecasted demand data. The OPF is solved by linear programming method. The system is divided into three areas for which total transfer capacity (TTC) is calculated by repeated power flow technique. The available transfer capacity decides the amount of congestion that affects the pricing. The voltage stability is ascertained by checking the singularity of the system Jacobian matrix. Finally, effect of line/generator loss on pricing system is studied. The model is tested on modified IEEE 14-bus and 30-bus systems and is implemented using MATLAB programming.",Congestion; N-1 contingency; Pricing structure; System security; Voltage stability constraint,Congestion; N-1 contingencies; Pricing structures; System security; Voltage stability constraints; Commerce; Deregulation; Jacobian matrices; Voltage stabilizing circuits; Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J́onsson T., Pinson P., Madsen H.",The effect ofwind power forecasts on electricity prices in Denmark,2008,,"For participants in deregulated energy markets as Nord Pool and EEX, forecasting of the electricity prices can be just as important as load and production forecasts when it comes to controlling production and consumption. Furthermore, price forecasts are paramount when it comes to designing bidding strategies. It is a known fact that electricity prices on the Nord Pool spot market are, in the long run, mainly influenced by the level of water in the reservoirs of the Norwegian and Swedish hydropower plants. However, changes in the water level happen slowly and are therefore not a matter of great relevance when 1 to 36 hour forecasts are made for the prices on Nord Pool spot market. In this paper, the effects of forecasted wind power production on the spot prices in Nord Pool's Western Danish price area (DK-1) are investigated. Moreover, ways of including the forecasted wind power production in a model for the spot price in DK-1 are explored. It turns out that forecasted wind power production has substantial effects on the spot price and even more effects can be found with small modifications. By using conditional parametric models and by converting the forecasted production into a forecasted penetration, a very satisfying degree of explanation can be achieved in forecasting models for the spot prices in DK-1. Given the result of this paper, it is very likely that the same approach to use wind power predictions, will give good results when forecasting the prices on other electricity pools. It is expected that the approach will be highly beneficial both for pools where wind power penetration is relatively high, and for markets with other characteristics, such as regulation markets.",Electricity spot prices; Forecasting; Statistical modeling; Wind power,Bidding strategy; Denmark; Deregulated energy market; Electricity pool; Electricity prices; Electricity spot price; Forecasting models; Hydropower plants; Parametric models; Power forecast; Price forecasts; Production forecasts; Regulation markets; Spot market; Spot price; Statistical modeling; Wind power penetration; Wind power predictions; Wind power production; Commerce; Costs; Electricity; Exhibitions; Forecasting; Lakes; Reservoirs (water); Water levels; Weather forecasting; Wind power; Electric load forecasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reji P., Ashok S., Moideenkutty K.M.",Model for electricity price in hydroelectric generating stations under deregulation,2008,,"This paper presents a mathematical model to determine the optimum electricity price in hydroelectric generating stations under deregulated electricity market. Under deregulation, a free market approach to buying and selling the electricity is established. In a deregulated power market, electricity producers generally follow a marginal cost based price fixing strategy. Accordingly, each utility firm follows their own pricing strategy in the market. Absence of a general model to determine the optimal electricity price at the generator end leads to non-standard pricing practices by different generators. The proposed model was formulated based on performance incentive and penalty considering peak/off-peak loads, plant load factor and availability of the plant. The developed model was applied to a typical hydroelectric utility in India to determine the electricity price. Results show that the percentage error in estimated value falls within the limits.",Deregulation; Electricity price; Power market; Profit maximization,Deregulated electricity market; Deregulated power markets; Developed model; Electricity price; Electricity prices; Electricity producers; Free market; General model; Generating stations; Marginal costs; Peak load; Percentage error; Plant load factor; Power markets; Pricing practices; Pricing strategy; Profit maximization; Commerce; Costs; Electric generators; Electric substations; Electric utilities; Electric variables measurement; Electricity; Hydroelectric power plants; Mathematical models; Optimization; Profitability; Deregulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
